signal_id,account_id,signal_type,signal_value,signal_source,signal_timestamp
SIG-000061,ACC-00089,email_engagement,1,email_platform,2026-06-05 14:00:00
SIG-000062,ACC-00163,email_engagement,1,email_platform,2026-07-08 01:00:00
SIG-000063,ACC-00109,website_visit,8,web_analytics,2026-08-06 10:00:00
SIG-000064,ACC-00166,email_engagement,1,email_platform,2026-06-26 20:00:00
SIG-000065,ACC-00193,email_engagement,1,email_platform,2026-06-25 09:00:00
SIG-000066,ACC-00142,product_usage_growth,7,product_telemetry,2026-07-04 19:00:00
SIG-000067,ACC-00098,website_visit,7,web_analytics,2026-05-29 12:00:00
SIG-000068,ACC-00108,job_posting_ml_engineer,1,clay,2026-08-10 16:00:00
SIG-000069,ACC-00143,pricing_page_visit,1,web_analytics,2026-07-30 17:00:00
SIG-000070,ACC-00130,website_visit,6,web_analytics,2026-06-17 04:00:00
SIG-000071,ACC-00166,open_source_model_interest,1,job_boards,2026-05-16 23:00:00
SIG-000072,ACC-00142,email_engagement,1,email_platform,2026-07-14 19:00:00
SIG-000073,ACC-00027,website_visit,7,web_analytics,2026-07-27 11:00:00
SIG-000074,ACC-00177,website_visit,7,web_analytics,2026-05-21 14:00:00
SIG-000075,ACC-00157,funding_event,1,news_feed,2026-07-11 05:00:00
SIG-000076,ACC-00093,email_engagement,1,email_platform,2026-06-10 00:00:00
SIG-000077,ACC-00143,open_source_model_interest,1,job_boards,2026-08-23 03:00:00
SIG-000078,ACC-00089,email_engagement,1,email_platform,2026-08-02 14:00:00
SIG-000079,ACC-00065,product_usage_growth,7,product_telemetry,2026-09-12 22:00:00
SIG-000080,ACC-00079,website_visit,7,web_analytics,2026-09-10 00:00:00
SIG-000081,ACC-00150,product_usage_growth,58,product_telemetry,2026-05-20 21:00:00
SIG-000082,ACC-00092,product_usage_growth,2,product_telemetry,2026-05-22 14:00:00
SIG-000083,ACC-00189,product_usage_growth,1,product_telemetry,2026-07-25 07:00:00
SIG-000084,ACC-00092,pricing_page_visit,1,web_analytics,2026-07-06 04:00:00
SIG-000085,ACC-00124,website_visit,2,web_analytics,2026-05-14 15:00:00
SIG-000086,ACC-00101,email_engagement,1,email_platform,2026-08-15 12:00:00
SIG-000087,ACC-00163,product_usage_growth,30,product_telemetry,2026-08-04 16:00:00
SIG-000088,ACC-00165,open_source_model_interest,1,job_boards,2026-05-27 10:00:00
SIG-000089,ACC-00198,website_visit,3,web_analytics,2026-08-16 23:00:00
SIG-000090,ACC-00122,pricing_page_visit,1,web_analytics,2026-09-10 01:00:00
SIG-000091,ACC-00100,open_source_model_interest,1,job_boards,2026-09-17 22:00:00
SIG-000092,ACC-00061,job_posting_ml_engineer,3,clay,2026-08-24 06:00:00
SIG-000093,ACC-00082,website_visit,1,web_analytics,2026-05-25 19:00:00
SIG-000094,ACC-00138,pricing_page_visit,1,web_analytics,2026-06-20 12:00:00
SIG-000095,ACC-00108,website_visit,4,web_analytics,2026-09-14 00:00:00
SIG-000096,ACC-00035,pricing_page_visit,1,web_analytics,2026-09-06 23:00:00
SIG-000097,ACC-00173,website_visit,1,web_analytics,2026-06-05 04:00:00
SIG-000098,ACC-00155,website_visit,3,web_analytics,2026-07-04 05:00:00
SIG-000099,ACC-00173,email_engagement,1,email_platform,2026-05-11 19:00:00
SIG-000100,ACC-00076,website_visit,2,web_analytics,2026-07-30 10:00:00
SIG-000101,ACC-00055,pricing_page_visit,1,web_analytics,2026-09-09 01:00:00
SIG-000102,ACC-00057,job_posting_ml_engineer,3,clay,2026-09-19 18:00:00
SIG-000103,ACC-00032,product_usage_growth,1,product_telemetry,2026-05-12 16:00:00
SIG-000104,ACC-00029,product_usage_growth,27,product_telemetry,2026-07-14 04:00:00
SIG-000105,ACC-00054,product_usage_growth,30,product_telemetry,2026-06-01 19:00:00
SIG-000106,ACC-00198,product_usage_growth,11,product_telemetry,2026-06-27 07:00:00
SIG-000107,ACC-00163,website_visit,2,web_analytics,2026-08-04 15:00:00
SIG-000108,ACC-00130,website_visit,7,web_analytics,2026-08-08 15:00:00
SIG-000109,ACC-00193,website_visit,3,web_analytics,2026-05-19 00:00:00
SIG-000110,ACC-00050,email_engagement,1,email_platform,2026-05-19 03:00:00
SIG-000111,ACC-00122,pricing_page_visit,1,web_analytics,2026-09-15 20:00:00
SIG-000112,ACC-00138,job_posting_ml_engineer,3,clay,2026-08-26 05:00:00
SIG-000113,ACC-00067,email_engagement,1,email_platform,2026-09-16 22:00:00
SIG-000114,ACC-00133,product_usage_growth,-1,product_telemetry,2026-05-17 08:00:00
SIG-000115,ACC-00089,website_visit,4,web_analytics,2026-07-21 16:00:00
SIG-000116,ACC-00150,pricing_page_visit,1,web_analytics,2026-08-20 03:00:00
SIG-000117,ACC-00008,website_visit,7,web_analytics,2026-09-19 16:00:00
SIG-000118,ACC-00162,email_engagement,1,email_platform,2026-06-18 17:00:00
SIG-000119,ACC-00120,pricing_page_visit,1,web_analytics,2026-08-21 15:00:00
SIG-000120,ACC-00060,website_visit,6,web_analytics,2026-06-15 20:00:00
SIG-000121,ACC-00054,email_engagement,1,email_platform,2026-07-31 12:00:00
SIG-000122,ACC-00108,website_visit,4,web_analytics,2026-06-05 17:00:00
SIG-000123,ACC-00176,email_engagement,1,email_platform,2026-08-16 03:00:00
SIG-000124,ACC-00193,website_visit,7,web_analytics,2026-08-04 20:00:00
SIG-000125,ACC-00191,product_usage_growth,31,product_telemetry,2026-05-13 06:00:00
SIG-000126,ACC-00166,open_source_model_interest,1,job_boards,2026-06-24 09:00:00
SIG-000127,ACC-00038,website_visit,5,web_analytics,2026-07-26 12:00:00
SIG-000128,ACC-00191,website_visit,6,web_analytics,2026-05-14 01:00:00
SIG-000129,ACC-00086,job_posting_ml_engineer,4,clay,2026-07-08 05:00:00
SIG-000130,ACC-00137,website_visit,7,web_analytics,2026-09-05 12:00:00
SIG-000131,ACC-00054,open_source_model_interest,1,job_boards,2026-07-06 12:00:00
SIG-000132,ACC-00012,pricing_page_visit,1,web_analytics,2026-06-12 11:00:00
SIG-000133,ACC-00182,website_visit,1,web_analytics,2026-06-04 21:00:00
SIG-000134,ACC-00155,website_visit,5,web_analytics,2026-07-23 22:00:00
SIG-000135,ACC-00169,pricing_page_visit,1,web_analytics,2026-05-28 13:00:00
SIG-000136,ACC-00023,website_visit,3,web_analytics,2026-09-09 05:00:00
SIG-000137,ACC-00089,website_visit,5,web_analytics,2026-05-22 20:00:00
SIG-000138,ACC-00014,website_visit,6,web_analytics,2026-05-17 00:00:00
SIG-000139,ACC-00022,funding_event,1,news_feed,2026-09-02 02:00:00
SIG-000140,ACC-00155,email_engagement,1,email_platform,2026-07-26 21:00:00
SIG-000141,ACC-00100,website_visit,8,web_analytics,2026-06-23 04:00:00
SIG-000142,ACC-00172,email_engagement,1,email_platform,2026-06-14 15:00:00
SIG-000143,ACC-00155,job_posting_ml_engineer,3,clay,2026-05-12 04:00:00
SIG-000144,ACC-00079,product_usage_growth,55,product_telemetry,2026-08-29 15:00:00
SIG-000145,ACC-00198,email_engagement,1,email_platform,2026-07-26 21:00:00
SIG-000146,ACC-00010,website_visit,7,web_analytics,2026-09-13 04:00:00
SIG-000147,ACC-00013,website_visit,1,web_analytics,2026-09-01 00:00:00
SIG-000148,ACC-00070,pricing_page_visit,1,web_analytics,2026-07-01 18:00:00
SIG-000149,ACC-00010,email_engagement,1,email_platform,2026-06-20 02:00:00
SIG-000150,ACC-00181,website_visit,2,web_analytics,2026-06-14 06:00:00
SIG-000151,ACC-00011,email_engagement,1,email_platform,2026-07-05 22:00:00
SIG-000152,ACC-00181,product_usage_growth,60,product_telemetry,2026-08-14 15:00:00
SIG-000153,ACC-00163,email_engagement,1,email_platform,2026-06-23 12:00:00
SIG-000154,ACC-00172,product_usage_growth,13,product_telemetry,2026-07-24 23:00:00
SIG-000155,ACC-00053,website_visit,1,web_analytics,2026-09-01 09:00:00
SIG-000156,ACC-00068,website_visit,8,web_analytics,2026-08-17 21:00:00
SIG-000157,ACC-00029,website_visit,2,web_analytics,2026-05-18 04:00:00
SIG-000158,ACC-00181,website_visit,3,web_analytics,2026-06-02 13:00:00
SIG-000159,ACC-00066,funding_event,1,news_feed,2026-08-15 21:00:00
SIG-000160,ACC-00126,email_engagement,1,email_platform,2026-08-23 13:00:00
SIG-000161,ACC-00024,product_usage_growth,23,product_telemetry,2026-08-30 19:00:00
SIG-000162,ACC-00004,product_usage_growth,17,product_telemetry,2026-09-10 01:00:00
SIG-000163,ACC-00155,email_engagement,1,email_platform,2026-07-24 00:00:00
SIG-000164,ACC-00078,website_visit,2,web_analytics,2026-05-14 18:00:00
SIG-000165,ACC-00161,demo_request,1,web_analytics,2026-08-05 00:00:00
SIG-000166,ACC-00172,product_usage_growth,35,product_telemetry,2026-09-09 11:00:00
SIG-000167,ACC-00063,website_visit,6,web_analytics,2026-07-29 02:00:00
SIG-000168,ACC-00096,pricing_page_visit,1,web_analytics,2026-06-29 15:00:00
SIG-000169,ACC-00137,email_engagement,1,email_platform,2026-08-06 06:00:00
SIG-000170,ACC-00097,email_engagement,1,email_platform,2026-07-24 02:00:00
SIG-000171,ACC-00100,email_engagement,1,email_platform,2026-08-15 04:00:00
SIG-000172,ACC-00006,email_engagement,1,email_platform,2026-08-03 13:00:00
SIG-000173,ACC-00191,product_usage_growth,32,product_telemetry,2026-08-21 03:00:00
SIG-000174,ACC-00126,website_visit,3,web_analytics,2026-07-19 17:00:00
SIG-000175,ACC-00163,website_visit,1,web_analytics,2026-08-08 10:00:00
SIG-000176,ACC-00136,open_source_model_interest,1,job_boards,2026-07-26 04:00:00
SIG-000177,ACC-00124,product_usage_growth,42,product_telemetry,2026-08-14 00:00:00
SIG-000178,ACC-00050,email_engagement,1,email_platform,2026-05-25 23:00:00
SIG-000179,ACC-00062,pricing_page_visit,1,web_analytics,2026-07-30 02:00:00
SIG-000180,ACC-00133,demo_request,1,web_analytics,2026-05-20 23:00:00
SIG-000181,ACC-00140,email_engagement,1,email_platform,2026-08-16 23:00:00
SIG-000182,ACC-00004,product_usage_growth,37,product_telemetry,2026-09-07 20:00:00
SIG-000183,ACC-00062,open_source_model_interest,1,job_boards,2026-08-25 05:00:00
SIG-000184,ACC-00142,job_posting_ml_engineer,3,clay,2026-06-07 10:00:00
SIG-000185,ACC-00191,job_posting_ml_engineer,1,clay,2026-09-18 06:00:00
SIG-000186,ACC-00180,funding_event,1,news_feed,2026-08-11 05:00:00
SIG-000187,ACC-00068,website_visit,7,web_analytics,2026-06-10 12:00:00
SIG-000188,ACC-00155,email_engagement,1,email_platform,2026-07-03 00:00:00
SIG-000189,ACC-00191,pricing_page_visit,1,web_analytics,2026-05-27 20:00:00
SIG-000190,ACC-00029,website_visit,7,web_analytics,2026-09-06 13:00:00
SIG-000191,ACC-00172,website_visit,2,web_analytics,2026-05-31 16:00:00
SIG-000192,ACC-00066,pricing_page_visit,1,web_analytics,2026-07-07 20:00:00
SIG-000193,ACC-00018,open_source_model_interest,1,job_boards,2026-09-17 12:00:00
SIG-000194,ACC-00136,website_visit,1,web_analytics,2026-09-10 07:00:00
SIG-000195,ACC-00004,open_source_model_interest,1,job_boards,2026-06-20 21:00:00
SIG-000196,ACC-00163,website_visit,1,web_analytics,2026-07-08 19:00:00
SIG-000197,ACC-00153,pricing_page_visit,1,web_analytics,2026-05-26 06:00:00
SIG-000198,ACC-00070,website_visit,2,web_analytics,2026-07-06 08:00:00
SIG-000199,ACC-00135,open_source_model_interest,1,job_boards,2026-05-19 11:00:00
SIG-000200,ACC-00121,demo_request,1,web_analytics,2026-07-15 16:00:00
SIG-000201,ACC-00066,demo_request,1,web_analytics,2026-06-21 02:00:00
SIG-000202,ACC-00183,product_usage_growth,1,product_telemetry,2026-06-08 21:00:00
SIG-000203,ACC-00091,website_visit,3,web_analytics,2026-06-21 12:00:00
SIG-000204,ACC-00072,website_visit,4,web_analytics,2026-07-20 19:00:00
SIG-000205,ACC-00089,website_visit,4,web_analytics,2026-08-11 15:00:00
SIG-000206,ACC-00006,demo_request,1,web_analytics,2026-09-09 03:00:00
SIG-000207,ACC-00098,email_engagement,1,email_platform,2026-05-12 10:00:00
SIG-000208,ACC-00198,email_engagement,1,email_platform,2026-09-11 02:00:00
SIG-000209,ACC-00181,funding_event,1,news_feed,2026-05-25 08:00:00
SIG-000210,ACC-00007,demo_request,1,web_analytics,2026-06-18 23:00:00
SIG-000211,ACC-00051,email_engagement,1,email_platform,2026-06-24 07:00:00
SIG-000212,ACC-00122,website_visit,6,web_analytics,2026-07-10 04:00:00
SIG-000213,ACC-00042,open_source_model_interest,1,job_boards,2026-07-21 01:00:00
SIG-000214,ACC-00108,website_visit,3,web_analytics,2026-08-05 05:00:00
SIG-000215,ACC-00165,email_engagement,1,email_platform,2026-07-17 01:00:00
SIG-000216,ACC-00016,pricing_page_visit,1,web_analytics,2026-07-16 03:00:00
SIG-000217,ACC-00028,pricing_page_visit,1,web_analytics,2026-06-19 01:00:00
SIG-000218,ACC-00069,pricing_page_visit,1,web_analytics,2026-07-31 00:00:00
SIG-000219,ACC-00170,email_engagement,1,email_platform,2026-05-12 03:00:00
SIG-000220,ACC-00118,product_usage_growth,49,product_telemetry,2026-08-13 13:00:00
SIG-000221,ACC-00090,pricing_page_visit,1,web_analytics,2026-08-09 08:00:00
SIG-000222,ACC-00098,demo_request,1,web_analytics,2026-05-29 07:00:00
SIG-000223,ACC-00137,open_source_model_interest,1,job_boards,2026-09-14 14:00:00
SIG-000224,ACC-00173,website_visit,2,web_analytics,2026-06-10 15:00:00
SIG-000225,ACC-00142,email_engagement,1,email_platform,2026-08-29 15:00:00
SIG-000226,ACC-00042,website_visit,7,web_analytics,2026-07-17 19:00:00
SIG-000227,ACC-00172,website_visit,3,web_analytics,2026-06-20 08:00:00
SIG-000228,ACC-00123,open_source_model_interest,1,job_boards,2026-08-05 00:00:00
SIG-000229,ACC-00165,job_posting_ml_engineer,3,clay,2026-05-19 01:00:00
SIG-000230,ACC-00006,pricing_page_visit,1,web_analytics,2026-08-11 09:00:00
SIG-000231,ACC-00143,product_usage_growth,26,product_telemetry,2026-05-22 01:00:00
SIG-000232,ACC-00142,open_source_model_interest,1,job_boards,2026-06-01 09:00:00
SIG-000233,ACC-00005,email_engagement,1,email_platform,2026-06-10 11:00:00
SIG-000234,ACC-00193,demo_request,1,web_analytics,2026-08-30 05:00:00
SIG-000235,ACC-00136,job_posting_ml_engineer,3,clay,2026-07-13 05:00:00
SIG-000236,ACC-00006,website_visit,5,web_analytics,2026-05-27 10:00:00
SIG-000237,ACC-00129,website_visit,1,web_analytics,2026-09-14 13:00:00
SIG-000238,ACC-00076,website_visit,8,web_analytics,2026-08-27 14:00:00
SIG-000239,ACC-00063,pricing_page_visit,1,web_analytics,2026-05-23 20:00:00
SIG-000240,ACC-00088,website_visit,3,web_analytics,2026-06-11 16:00:00
SIG-000241,ACC-00050,website_visit,5,web_analytics,2026-08-18 20:00:00
SIG-000242,ACC-00198,open_source_model_interest,1,job_boards,2026-05-24 19:00:00
SIG-000243,ACC-00137,demo_request,1,web_analytics,2026-07-02 08:00:00
SIG-000244,ACC-00193,website_visit,2,web_analytics,2026-07-05 12:00:00
SIG-000245,ACC-00005,product_usage_growth,20,product_telemetry,2026-05-31 08:00:00
SIG-000246,ACC-00089,email_engagement,1,email_platform,2026-09-09 00:00:00
SIG-000247,ACC-00125,job_posting_ml_engineer,3,clay,2026-07-18 13:00:00
SIG-000248,ACC-00179,email_engagement,1,email_platform,2026-08-10 20:00:00
SIG-000249,ACC-00031,website_visit,4,web_analytics,2026-05-29 19:00:00
SIG-000250,ACC-00191,pricing_page_visit,1,web_analytics,2026-05-17 20:00:00
SIG-000251,ACC-00092,email_engagement,1,email_platform,2026-06-22 08:00:00
SIG-000252,ACC-00074,product_usage_growth,57,product_telemetry,2026-08-11 04:00:00
SIG-000253,ACC-00089,email_engagement,1,email_platform,2026-06-13 19:00:00
SIG-000254,ACC-00004,email_engagement,1,email_platform,2026-09-02 21:00:00
SIG-000255,ACC-00103,website_visit,8,web_analytics,2026-06-29 05:00:00
SIG-000256,ACC-00032,website_visit,2,web_analytics,2026-08-05 17:00:00
SIG-000257,ACC-00142,website_visit,1,web_analytics,2026-07-16 17:00:00
SIG-000258,ACC-00166,job_posting_ml_engineer,2,clay,2026-08-30 04:00:00
SIG-000259,ACC-00019,pricing_page_visit,1,web_analytics,2026-07-13 02:00:00
SIG-000260,ACC-00006,product_usage_growth,56,product_telemetry,2026-08-26 15:00:00
SIG-000261,ACC-00140,pricing_page_visit,1,web_analytics,2026-06-04 19:00:00
SIG-000262,ACC-00172,email_engagement,1,email_platform,2026-08-08 13:00:00
SIG-000263,ACC-00133,pricing_page_visit,1,web_analytics,2026-07-01 01:00:00
SIG-000264,ACC-00087,product_usage_growth,31,product_telemetry,2026-07-20 00:00:00
SIG-000265,ACC-00100,job_posting_ml_engineer,3,clay,2026-05-28 06:00:00
SIG-000266,ACC-00005,open_source_model_interest,1,job_boards,2026-09-18 09:00:00
SIG-000267,ACC-00058,product_usage_growth,60,product_telemetry,2026-05-12 01:00:00
SIG-000268,ACC-00150,website_visit,1,web_analytics,2026-08-11 14:00:00
SIG-000269,ACC-00163,website_visit,5,web_analytics,2026-06-09 00:00:00
SIG-000270,ACC-00191,website_visit,6,web_analytics,2026-05-17 20:00:00
SIG-000271,ACC-00028,email_engagement,1,email_platform,2026-08-30 17:00:00
SIG-000272,ACC-00089,pricing_page_visit,1,web_analytics,2026-07-22 19:00:00
SIG-000273,ACC-00158,open_source_model_interest,1,job_boards,2026-09-09 08:00:00
SIG-000274,ACC-00042,pricing_page_visit,1,web_analytics,2026-06-11 04:00:00
SIG-000275,ACC-00151,email_engagement,1,email_platform,2026-06-11 14:00:00
SIG-000276,ACC-00006,email_engagement,1,email_platform,2026-08-29 06:00:00
SIG-000277,ACC-00182,website_visit,3,web_analytics,2026-05-18 06:00:00
SIG-000278,ACC-00054,email_engagement,1,email_platform,2026-07-13 05:00:00
SIG-000279,ACC-00163,website_visit,7,web_analytics,2026-06-22 12:00:00
SIG-000280,ACC-00166,demo_request,1,web_analytics,2026-05-28 23:00:00
SIG-000281,ACC-00005,open_source_model_interest,1,job_boards,2026-08-10 19:00:00
SIG-000282,ACC-00032,job_posting_ml_engineer,2,clay,2026-09-16 08:00:00
SIG-000283,ACC-00032,website_visit,8,web_analytics,2026-07-27 19:00:00
SIG-000284,ACC-00056,email_engagement,1,email_platform,2026-09-15 06:00:00
SIG-000285,ACC-00173,email_engagement,1,email_platform,2026-07-09 12:00:00
SIG-000286,ACC-00162,website_visit,8,web_analytics,2026-06-11 21:00:00
SIG-000287,ACC-00181,pricing_page_visit,1,web_analytics,2026-06-13 11:00:00
SIG-000288,ACC-00134,open_source_model_interest,1,job_boards,2026-08-28 13:00:00
SIG-000289,ACC-00130,email_engagement,1,email_platform,2026-07-03 08:00:00
SIG-000290,ACC-00194,website_visit,6,web_analytics,2026-07-04 11:00:00
SIG-000291,ACC-00132,website_visit,1,web_analytics,2026-09-12 01:00:00
SIG-000292,ACC-00061,website_visit,7,web_analytics,2026-06-14 02:00:00
SIG-000293,ACC-00160,product_usage_growth,20,product_telemetry,2026-08-11 05:00:00
SIG-000294,ACC-00158,pricing_page_visit,1,web_analytics,2026-07-30 14:00:00
SIG-000295,ACC-00191,product_usage_growth,8,product_telemetry,2026-08-10 08:00:00
SIG-000296,ACC-00155,open_source_model_interest,1,job_boards,2026-08-12 19:00:00
SIG-000297,ACC-00098,product_usage_growth,28,product_telemetry,2026-05-28 19:00:00
SIG-000298,ACC-00167,open_source_model_interest,1,job_boards,2026-08-23 14:00:00
SIG-000299,ACC-00198,open_source_model_interest,1,job_boards,2026-07-21 21:00:00
SIG-000300,ACC-00006,demo_request,1,web_analytics,2026-05-21 20:00:00
SIG-000301,ACC-00051,product_usage_growth,7,product_telemetry,2026-08-09 12:00:00
SIG-000302,ACC-00122,job_posting_ml_engineer,3,clay,2026-07-24 19:00:00
SIG-000303,ACC-00055,job_posting_ml_engineer,2,clay,2026-05-16 20:00:00
SIG-000304,ACC-00130,product_usage_growth,-5,product_telemetry,2026-06-13 19:00:00
SIG-000305,ACC-00166,open_source_model_interest,1,job_boards,2026-05-26 17:00:00
SIG-000306,ACC-00066,email_engagement,1,email_platform,2026-09-07 12:00:00
SIG-000307,ACC-00108,product_usage_growth,11,product_telemetry,2026-06-03 09:00:00
SIG-000308,ACC-00017,job_posting_ml_engineer,4,clay,2026-08-26 19:00:00
SIG-000309,ACC-00050,funding_event,1,news_feed,2026-06-29 04:00:00
SIG-000310,ACC-00130,email_engagement,1,email_platform,2026-07-17 08:00:00
SIG-000311,ACC-00186,funding_event,1,news_feed,2026-05-26 22:00:00
SIG-000312,ACC-00143,job_posting_ml_engineer,4,clay,2026-06-14 17:00:00
SIG-000313,ACC-00089,email_engagement,1,email_platform,2026-08-04 20:00:00
SIG-000314,ACC-00092,website_visit,8,web_analytics,2026-08-20 14:00:00
SIG-000315,ACC-00004,email_engagement,1,email_platform,2026-05-15 03:00:00
SIG-000316,ACC-00005,email_engagement,1,email_platform,2026-05-21 04:00:00
SIG-000317,ACC-00006,email_engagement,1,email_platform,2026-07-09 23:00:00
SIG-000318,ACC-00057,website_visit,3,web_analytics,2026-09-10 14:00:00
SIG-000319,ACC-00174,email_engagement,1,email_platform,2026-09-07 15:00:00
SIG-000320,ACC-00054,website_visit,5,web_analytics,2026-06-19 17:00:00
SIG-000321,ACC-00092,pricing_page_visit,1,web_analytics,2026-09-03 09:00:00
SIG-000322,ACC-00035,job_posting_ml_engineer,3,clay,2026-06-06 02:00:00
SIG-000323,ACC-00063,email_engagement,1,email_platform,2026-07-08 05:00:00
SIG-000324,ACC-00085,website_visit,6,web_analytics,2026-05-15 03:00:00
SIG-000325,ACC-00160,website_visit,5,web_analytics,2026-08-20 18:00:00
SIG-000326,ACC-00034,job_posting_ml_engineer,4,clay,2026-09-08 08:00:00
SIG-000327,ACC-00172,website_visit,4,web_analytics,2026-09-02 09:00:00
SIG-000328,ACC-00155,pricing_page_visit,1,web_analytics,2026-06-24 06:00:00
SIG-000329,ACC-00161,open_source_model_interest,1,job_boards,2026-06-24 21:00:00
SIG-000330,ACC-00125,funding_event,1,news_feed,2026-05-25 01:00:00
SIG-000331,ACC-00122,funding_event,1,news_feed,2026-07-05 00:00:00
SIG-000332,ACC-00084,email_engagement,1,email_platform,2026-06-21 16:00:00
SIG-000333,ACC-00075,product_usage_growth,58,product_telemetry,2026-08-08 00:00:00
SIG-000334,ACC-00051,email_engagement,1,email_platform,2026-07-12 05:00:00
SIG-000335,ACC-00066,pricing_page_visit,1,web_analytics,2026-07-04 13:00:00
