enrichment_id,account_id,domain,employee_count,funding_stage,funding_amount_usd,tech_stack,open_ml_roles,open_data_infra_roles,company_summary,personalization_hook,enrichment_source,enriched_at
ENR-00049,ACC-00049,atlasai.com,120,Seed,150000000,"go,huggingface,snowflake",2,0,Atlas AI is a Seed Fintech company with roughly 120 employees.,your fintech roadmap and recent Seed momentum,clay_csv,2026-09-13 23:00:00
ENR-00050,ACC-00050,cinderdata.io,800,Series C,8000000,"databricks,kubernetes,postgres,python,pytorch",2,4,Cinder Data is a Series C Healthcare company with roughly 800 employees.,your healthcare roadmap and recent Series C momentum,clay_csv,2026-09-03 23:00:00
ENR-00051,ACC-00051,lumenlabs.io,200,Series B,25000000,"huggingface,kubernetes,postgres,python",0,0,Lumen Labs is a Series B Developer Tools company with roughly 200 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-08-31 23:00:00
ENR-00052,ACC-00052,orbitai.ai,8000,Public,2000000,"databricks,pytorch",5,2,Orbit AI is a Public SaaS company with roughly 8000 employees.,your saas roadmap and recent Public momentum,clay_csv,2026-09-15 23:00:00
ENR-00053,ACC-00053,helixnetworks.io,200,Series C,150000000,"databricks,gcp,python,snowflake,spark",5,1,Helix Networks is a Series C Fintech company with roughly 200 employees.,your fintech roadmap and recent Series C momentum,clay_csv,2026-09-08 23:00:00
ENR-00054,ACC-00054,orbitcloud.io,8000,Series A,25000000,"aws,go,kubernetes,pytorch,react",0,2,Orbit Cloud is a Series A Logistics company with roughly 8000 employees.,your logistics roadmap and recent Series A momentum,clay_csv,2026-09-16 23:00:00
ENR-00055,ACC-00055,signalrobotics.ai,320,Series C,2000000,"gcp,go,react",1,4,Signal Robotics is a Series C Healthcare company with roughly 320 employees.,your healthcare roadmap and recent Series C momentum,clay_csv,2026-09-07 23:00:00
ENR-00056,ACC-00056,atlassystems.com,12,Series D,0,"aws,huggingface,postgres,react",0,0,Atlas Systems is a Series D SaaS company with roughly 12 employees.,your saas roadmap and recent Series D momentum,clay_csv,2026-08-31 23:00:00
ENR-00057,ACC-00057,emberanalytics.ai,60,Series A,25000000,"aws,databricks,go,kubernetes",0,1,Ember Analytics is a Series A E-commerce company with roughly 60 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-01 23:00:00
ENR-00058,ACC-00058,beaconanalytics.ai,8000,Series A,8000000,"go,postgres,python,snowflake",3,4,Beacon Analytics is a Series A E-commerce company with roughly 8000 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-16 23:00:00
ENR-00059,ACC-00059,beaconnetworks.ai,25,Series D,150000000,"go,postgres",3,1,Beacon Networks is a Series D Media company with roughly 25 employees.,your media roadmap and recent Series D momentum,clay_csv,2026-09-11 23:00:00
ENR-00060,ACC-00060,summitdata.com,320,Series A,0,"go,postgres",3,4,Summit Data is a Series A AI/ML company with roughly 320 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-14 23:00:00
ENR-00061,ACC-00061,ridgeworks.com,1500,Series A,150000000,"aws,gcp,python,pytorch,spark",5,4,Ridge Works is a Series A SaaS company with roughly 1500 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-13 23:00:00
ENR-00063,ACC-00063,pixelnetworks.com,120,Series B,60000000,"databricks,go,react",0,2,Pixel Networks is a Series B Healthcare company with roughly 120 employees.,your healthcare roadmap and recent Series B momentum,clay_csv,2026-09-04 23:00:00
ENR-00064,ACC-00064,pixelhealth.ai,60,Series B,60000000,"gcp,huggingface,react",5,0,Pixel Health is a Series B Developer Tools company with roughly 60 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-09 23:00:00
ENR-00065,ACC-00065,ridgelogic.ai,12,Series A,8000000,"aws,postgres,react,snowflake",2,4,Ridge Logic is a Series A SaaS company with roughly 12 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-02 23:00:00
ENR-00066,ACC-00066,summitlogic.ai,500,Series C,25000000,"gcp,go,huggingface,kubernetes,react",5,1,Summit Logic is a Series C Developer Tools company with roughly 500 employees.,your developer tools roadmap and recent Series C momentum,clay_csv,2026-09-12 23:00:00
ENR-00067,ACC-00067,signalnetworksinc.ai,2600,Series B,60000000,"huggingface,postgres,snowflake",1,1,Signal Networks Inc is a Series B Developer Tools company with roughly 2600 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-04 23:00:00
ENR-00068,ACC-00068,novadataco.io,12,Series A,2000000,"go,spark",5,1,Nova Data Co is a Series A AI/ML company with roughly 12 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-02 23:00:00
ENR-00069,ACC-00069,quantapay.co,1500,Series A,150000000,"huggingface,kubernetes,python",2,1,Quanta Pay is a Series A E-commerce company with roughly 1500 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-17 23:00:00
ENR-00070,ACC-00070,zenithhealth.io,4000,Seed,60000000,"gcp,go,huggingface,kubernetes,react",2,1,Zenith Health is a Seed AI/ML company with roughly 4000 employees.,your ai/ml roadmap and recent Seed momentum,clay_csv,2026-09-15 23:00:00
ENR-00071,ACC-00071,keplersystemstech.com,25,Series B,0,"python,react,spark",5,4,Kepler Systems Tech is a Series B Developer Tools company with roughly 25 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-12 23:00:00
ENR-00072,ACC-00072,meridianlogic.ai,500,Series B,8000000,"aws,huggingface,postgres,pytorch",0,0,Meridian Logic is a Series B Logistics company with roughly 500 employees.,your logistics roadmap and recent Series B momentum,clay_csv,2026-09-19 23:00:00
ENR-00073,ACC-00073,cobaltworks.co,4000,Series D,60000000,"gcp,kubernetes,postgres,snowflake,spark",0,2,Cobalt Works is a Series D Media company with roughly 4000 employees.,your media roadmap and recent Series D momentum,clay_csv,2026-09-10 23:00:00
ENR-00074,ACC-00074,keplernetworks.ai,800,Series B,0,"aws,databricks",0,4,Kepler Networks is a Series B Healthcare company with roughly 800 employees.,your healthcare roadmap and recent Series B momentum,clay_csv,2026-09-14 23:00:00
ENR-00075,ACC-00075,emberlabs.ai,200,Series A,150000000,"aws,go,kubernetes,python,spark",0,2,Ember Labs is a Series A SaaS company with roughly 200 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-01 23:00:00
ENR-00076,ACC-00076,orbitsystems.io,40,Series C,8000000,"aws,gcp,kubernetes,postgres,react",1,1,Orbit Systems is a Series C SaaS company with roughly 40 employees.,your saas roadmap and recent Series C momentum,clay_csv,2026-09-16 23:00:00
ENR-00077,ACC-00077,cobaltanalytics.co,60,Series C,60000000,"aws,huggingface,python,snowflake",5,2,Cobalt Analytics is a Series C SaaS company with roughly 60 employees.,your saas roadmap and recent Series C momentum,clay_csv,2026-09-10 23:00:00
ENR-00078,ACC-00078,nimbuslogic.co,200,Series A,25000000,"databricks,huggingface,pytorch,react,snowflake",0,0,Nimbus Logic is a Series A Developer Tools company with roughly 200 employees.,your developer tools roadmap and recent Series A momentum,clay_csv,2026-09-16 23:00:00
ENR-00079,ACC-00079,meridianrobotics.io,120,Series B,2000000,"databricks,kubernetes,python",0,2,Meridian Robotics is a Series B Developer Tools company with roughly 120 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-12 23:00:00
ENR-00080,ACC-00080,pixelnetworkstech.io,40,Public,2000000,"kubernetes,spark",1,1,Pixel Networks Tech is a Public E-commerce company with roughly 40 employees.,your e-commerce roadmap and recent Public momentum,clay_csv,2026-09-08 23:00:00
ENR-00081,ACC-00081,beaconlogic.com,320,Seed,8000000,"aws,databricks,kubernetes,react",0,0,Beacon Logic is a Seed AI/ML company with roughly 320 employees.,your ai/ml roadmap and recent Seed momentum,clay_csv,2026-09-16 23:00:00
ENR-00082,ACC-00082,vectordata.co,500,Series A,25000000,"aws,gcp,postgres",1,1,Vector Data is a Series A SaaS company with roughly 500 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-15 23:00:00
ENR-00083,ACC-00083,cobaltdata.com,4000,Series B,8000000,"gcp,go,pytorch,react,spark",3,1,Cobalt Data is a Series B Developer Tools company with roughly 4000 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-03 23:00:00
ENR-00084,ACC-00084,cinderlabsinc.com,60,Series D,0,"python,react",5,1,Cinder Labs Inc is a Series D Logistics company with roughly 60 employees.,your logistics roadmap and recent Series D momentum,clay_csv,2026-09-03 23:00:00
ENR-00085,ACC-00085,novalabs.io,120,Series C,0,"gcp,postgres,pytorch,react",3,0,Nova Labs is a Series C Developer Tools company with roughly 120 employees.,your developer tools roadmap and recent Series C momentum,clay_csv,2026-09-01 23:00:00
ENR-00086,ACC-00086,ridgerobotics.com,40,Public,150000000,"aws,postgres",3,2,Ridge Robotics is a Public Healthcare company with roughly 40 employees.,your healthcare roadmap and recent Public momentum,clay_csv,2026-09-03 23:00:00
ENR-00087,ACC-00087,nimbusdata.co,4000,Series A,25000000,"databricks,huggingface,kubernetes,python,spark",3,0,Nimbus Data is a Series A SaaS company with roughly 4000 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-19 23:00:00
ENR-00088,ACC-00088,keplerlabs.ai,1500,Series C,0,"python,pytorch,react,snowflake,spark",3,0,Kepler Labs is a Series C E-commerce company with roughly 1500 employees.,your e-commerce roadmap and recent Series C momentum,clay_csv,2026-09-04 23:00:00
ENR-00090,ACC-00090,cobaltpay.com,200,Series B,2000000,"aws,databricks,postgres,pytorch,spark",0,2,Cobalt Pay is a Series B Developer Tools company with roughly 200 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-08-30 23:00:00
ENR-00091,ACC-00091,cobaltsystems.ai,800,Series C,25000000,"aws,gcp,huggingface,python,react",0,0,Cobalt Systems is a Series C Fintech company with roughly 800 employees.,your fintech roadmap and recent Series C momentum,clay_csv,2026-09-10 23:00:00
ENR-00092,ACC-00092,summitdatagroup.io,25,Series A,8000000,"aws,gcp,huggingface,postgres,snowflake",5,4,Summit Data Group is a Series A E-commerce company with roughly 25 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-11 23:00:00
ENR-00093,ACC-00093,emberlogictech.ai,200,Series A,0,"gcp,go,huggingface,python,pytorch",5,0,Ember Logic Tech is a Series A AI/ML company with roughly 200 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-16 23:00:00
ENR-00094,ACC-00094,atlasanalytics.ai,4000,Series D,60000000,"gcp,python",2,4,Atlas Analytics is a Series D E-commerce company with roughly 4000 employees.,your e-commerce roadmap and recent Series D momentum,clay_csv,2026-09-07 23:00:00
ENR-00095,ACC-00095,harborcloud.com,320,Series B,150000000,"aws,react",3,0,Harbor Cloud is a Series B SaaS company with roughly 320 employees.,your saas roadmap and recent Series B momentum,clay_csv,2026-09-10 23:00:00
ENR-00096,ACC-00096,cinderrobotics.co,12,Seed,2000000,"aws,gcp,kubernetes,react",5,4,Cinder Robotics is a Seed Developer Tools company with roughly 12 employees.,your developer tools roadmap and recent Seed momentum,clay_csv,2026-09-12 23:00:00
ENR-00097,ACC-00097,keplerdata.ai,800,Series A,25000000,"databricks,huggingface,spark",1,0,Kepler Data is a Series A Developer Tools company with roughly 800 employees.,your developer tools roadmap and recent Series A momentum,clay_csv,2026-09-02 23:00:00
ENR-00098,ACC-00098,pixelanalytics.co,120,Series A,150000000,"aws,databricks,huggingface,spark",1,2,Pixel Analytics is a Series A SaaS company with roughly 120 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-10 23:00:00
ENR-00099,ACC-00099,pixellabs.io,4000,Series B,0,"aws,kubernetes,postgres",3,2,Pixel Labs is a Series B AI/ML company with roughly 4000 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-18 23:00:00
ENR-00100,ACC-00100,harborlogicgroup.com,120,Series A,25000000,"databricks,gcp,kubernetes",2,4,Harbor Logic Group is a Series A E-commerce company with roughly 120 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-13 23:00:00
ENR-00101,ACC-00101,nimbusrobotics.io,12,Series B,150000000,"gcp,python,pytorch,react",0,2,Nimbus Robotics is a Series B SaaS company with roughly 12 employees.,your saas roadmap and recent Series B momentum,clay_csv,2026-09-11 23:00:00
ENR-00102,ACC-00102,cinderpay.com,1500,Series A,0,"gcp,go",3,4,Cinder Pay is a Series A E-commerce company with roughly 1500 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-02 23:00:00
ENR-00103,ACC-00103,pixelsystems.com,500,Seed,2000000,"gcp,huggingface",0,1,Pixel Systems is a Seed SaaS company with roughly 500 employees.,your saas roadmap and recent Seed momentum,clay_csv,2026-09-16 23:00:00
ENR-00104,ACC-00104,zenithlabs.com,8000,Series B,60000000,"databricks,gcp,react",2,0,Zenith Labs is a Series B AI/ML company with roughly 8000 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-09 23:00:00
ENR-00105,ACC-00105,keplerlabstech.io,320,Series B,25000000,"huggingface,kubernetes,react,snowflake",2,2,Kepler Labs Tech is a Series B Healthcare company with roughly 320 employees.,your healthcare roadmap and recent Series B momentum,clay_csv,2026-09-04 23:00:00
ENR-00106,ACC-00106,summithealth.ai,12,Series B,150000000,"databricks,gcp,snowflake,spark",5,2,Summit Health is a Series B Developer Tools company with roughly 12 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-18 23:00:00
ENR-00107,ACC-00107,helixnetworksco.ai,40,Series A,0,"databricks,go,react,spark",0,0,Helix Networks Co is a Series A Fintech company with roughly 40 employees.,your fintech roadmap and recent Series A momentum,clay_csv,2026-09-10 23:00:00
ENR-00108,ACC-00108,signalai.co,1500,Series B,8000000,"postgres,react,snowflake",1,0,Signal AI is a Series B Developer Tools company with roughly 1500 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-11 23:00:00
ENR-00109,ACC-00109,deltarobotics.ai,500,Seed,8000000,"aws,huggingface,snowflake",2,2,Delta Robotics is a Seed Healthcare company with roughly 500 employees.,your healthcare roadmap and recent Seed momentum,clay_csv,2026-09-15 23:00:00
ENR-00110,ACC-00110,cinderlogic.io,800,Series A,25000000,"python,react",2,0,Cinder Logic is a Series A Developer Tools company with roughly 800 employees.,your developer tools roadmap and recent Series A momentum,clay_csv,2026-09-17 23:00:00
ENR-00111,ACC-00111,orbitlabs.com,120,Series B,150000000,"aws,databricks",5,0,Orbit Labs is a Series B AI/ML company with roughly 120 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-08-30 23:00:00
ENR-00112,ACC-00112,emberlabstech.ai,120,Series B,0,"postgres,react,snowflake",5,0,Ember Labs Tech is a Series B Healthcare company with roughly 120 employees.,your healthcare roadmap and recent Series B momentum,clay_csv,2026-09-18 23:00:00
ENR-00113,ACC-00113,quantalogic.com,4000,Series A,8000000,"databricks,go,huggingface,python,react",5,4,Quanta Logic is a Series A E-commerce company with roughly 4000 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-19 23:00:00
ENR-00115,ACC-00115,cinderpaygroup.io,320,Series B,0,"aws,huggingface,pytorch,react,spark",3,1,Cinder Pay Group is a Series B Logistics company with roughly 320 employees.,your logistics roadmap and recent Series B momentum,clay_csv,2026-09-12 23:00:00
ENR-00116,ACC-00116,zenithanalytics.co,2600,Seed,150000000,"databricks,kubernetes,pytorch,snowflake",3,1,Zenith Analytics is a Seed SaaS company with roughly 2600 employees.,your saas roadmap and recent Seed momentum,clay_csv,2026-09-07 23:00:00
ENR-00117,ACC-00117,cobaltrobotics.co,320,Series C,2000000,"huggingface,spark",0,0,Cobalt Robotics is a Series C SaaS company with roughly 320 employees.,your saas roadmap and recent Series C momentum,clay_csv,2026-09-18 23:00:00
ENR-00118,ACC-00118,emberlabsgroup.ai,8000,Series A,25000000,"aws,huggingface,python,pytorch,spark",2,2,Ember Labs Group is a Series A SaaS company with roughly 8000 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-04 23:00:00
ENR-00119,ACC-00119,novaworks.co,60,Series B,25000000,"python,react",5,1,Nova Works is a Series B SaaS company with roughly 60 employees.,your saas roadmap and recent Series B momentum,clay_csv,2026-09-12 23:00:00
ENR-00120,ACC-00120,cinderpayinc.io,40,Public,8000000,"kubernetes,python,pytorch,react",5,4,Cinder Pay Inc is a Public SaaS company with roughly 40 employees.,your saas roadmap and recent Public momentum,clay_csv,2026-09-01 23:00:00
ENR-00121,ACC-00121,lumenai.io,120,Series B,0,"aws,databricks,go",0,1,Lumen AI is a Series B Healthcare company with roughly 120 employees.,your healthcare roadmap and recent Series B momentum,clay_csv,2026-09-17 23:00:00
ENR-00122,ACC-00122,emberlabsco.co,120,Series B,25000000,"aws,databricks,react,snowflake,spark",3,0,Ember Labs Co is a Series B Media company with roughly 120 employees.,your media roadmap and recent Series B momentum,clay_csv,2026-09-17 23:00:00
ENR-00123,ACC-00123,zenithpay.io,40,Series A,0,"databricks,gcp,go,pytorch,snowflake",1,0,Zenith Pay is a Series A Developer Tools company with roughly 40 employees.,your developer tools roadmap and recent Series A momentum,clay_csv,2026-09-19 23:00:00
ENR-00124,ACC-00124,orbitlabsgroup.co,8000,Series B,0,"aws,databricks,react,spark",2,2,Orbit Labs Group is a Series B SaaS company with roughly 8000 employees.,your saas roadmap and recent Series B momentum,clay_csv,2026-09-01 23:00:00
ENR-00125,ACC-00125,deltalogic.co,500,Series B,2000000,"huggingface,pytorch,spark",0,4,Delta Logic is a Series B E-commerce company with roughly 500 employees.,your e-commerce roadmap and recent Series B momentum,clay_csv,2026-09-11 23:00:00
ENR-00126,ACC-00126,meridianworks.co,200,Series D,60000000,"go,huggingface,python,pytorch,snowflake",5,0,Meridian Works is a Series D Developer Tools company with roughly 200 employees.,your developer tools roadmap and recent Series D momentum,clay_csv,2026-09-10 23:00:00
ENR-00127,ACC-00127,summithealthco.co,4000,Series B,0,"aws,databricks",1,0,Summit Health Co is a Series B AI/ML company with roughly 4000 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-05 23:00:00
ENR-00128,ACC-00128,novanetworksco.co,40,Series B,0,"pytorch,snowflake",3,2,Nova Networks Co is a Series B Logistics company with roughly 40 employees.,your logistics roadmap and recent Series B momentum,clay_csv,2026-09-02 23:00:00
