opportunity_id,account_id,name,amount,stage,created_at,close_date,is_closed,is_won,source_tier,sf_opportunity_id
OPP-00075,ACC-00012,Lumen Health Group - Platform renewal,12000,Closed Lost,2026-06-27,2026-08-22,True,False,Tier 3,
OPP-00076,ACC-00155,Kepler Systems Co - Platform renewal,36000,Closed Lost,2026-07-26,2026-08-23,True,False,Tier 3,
OPP-00077,ACC-00160,Delta Pay Inc - Platform renewal,48000,Closed Lost,2026-06-04,2026-06-21,True,False,Tier 3,
OPP-00078,ACC-00142,Cinder Cloud - New workload,48000,Proposal,2026-07-29,2026-12-07,False,False,Tier 3,
OPP-00079,ACC-00115,Cinder Pay Group - New workload,12000,Proposal,2026-08-13,2026-10-31,False,False,Tier 3,
OPP-00080,ACC-00168,Kepler Labs Group - Enterprise rollout,48000,Closed Lost,2026-05-20,2026-06-19,True,False,Tier 3,
OPP-00081,ACC-00087,Nimbus Data - Enterprise rollout,48000,Closed Lost,2026-08-24,2026-09-17,True,False,Tier 3,
OPP-00082,ACC-00175,Forge Health - Enterprise rollout,12000,Closed Lost,2026-07-12,2026-07-24,True,False,Tier 3,
OPP-00083,ACC-00102,Cinder Pay - Enterprise rollout,48000,Closed Lost,2026-07-22,2026-08-30,True,False,Tier 3,
OPP-00084,ACC-00080,Pixel Networks Tech - Enterprise rollout,12000,Closed Lost,2026-05-20,2026-06-03,True,False,Tier 3,
OPP-00085,ACC-00044,Ember Logic - New workload,36000,Closed Lost,2026-04-23,2026-05-14,True,False,Tier 3,
OPP-00086,ACC-00174,Nova Health - Enterprise rollout,48000,Closed Won,2026-06-08,2026-07-29,True,True,Tier 3,
OPP-00087,ACC-00182,Delta Robotics Group - New workload,24000,Closed Lost,2026-06-05,2026-07-22,True,False,Tier 3,
OPP-00088,ACC-00038,Nova Robotics Tech - New workload,24000,Closed Lost,2026-08-03,2026-08-10,True,False,Tier 3,
OPP-00089,ACC-00079,Meridian Robotics - Platform renewal,36000,Closed Lost,2026-08-13,2026-09-03,True,False,Tier 3,
OPP-00090,ACC-00006,Harbor Logic - Enterprise rollout,48000,Closed Lost,2026-04-17,2026-04-28,True,False,Tier 3,
OPP-00091,ACC-00088,Kepler Labs - Enterprise rollout,48000,Closed Lost,2026-08-20,2026-08-23,True,False,Tier 3,
OPP-00092,ACC-00162,Summit Works Group - New workload,36000,Closed Lost,2026-07-12,2026-09-02,True,False,Tier 3,
OPP-00093,ACC-00170,Forge AI - New workload,12000,Closed Lost,2026-08-18,2026-08-30,True,False,Tier 3,
OPP-00094,ACC-00200,Ember Logic Group - Enterprise rollout,36000,Proposal,2026-08-13,2026-12-15,False,False,Tier 3,
OPP-00095,ACC-00018,Kepler Systems - New workload,48000,Closed Lost,2026-03-31,2026-04-05,True,False,Tier 3,
OPP-00096,ACC-00136,Nova Cloud - New workload,12000,Closed Won,2026-07-22,2026-09-04,True,True,Tier 3,
OPP-00097,ACC-00050,Cinder Data - API expansion,36000,Closed Lost,2026-05-26,2026-06-06,True,False,Tier 3,
OPP-00098,ACC-00063,Pixel Networks - API expansion,48000,Closed Lost,2026-04-06,2026-05-25,True,False,Tier 3,
OPP-00099,ACC-00090,Cobalt Pay - API expansion,12000,Closed Lost,2026-07-26,2026-09-16,True,False,Tier 3,
OPP-00100,ACC-00172,Signal Analytics - New workload,36000,Closed Won,2026-07-02,2026-09-07,True,True,Tier 3,
OPP-00101,ACC-00011,Helix Robotics - Enterprise rollout,24000,Closed Lost,2026-07-22,2026-08-07,True,False,Tier 3,
OPP-00102,ACC-00149,Cinder Health - API expansion,48000,Closed Lost,2026-06-18,2026-07-02,True,False,Tier 3,
OPP-00103,ACC-00128,Nova Networks Co - Platform renewal,36000,Closed Lost,2026-04-21,2026-06-13,True,False,Tier 3,
OPP-00104,ACC-00113,Quanta Logic - New workload,48000,Closed Lost,2026-03-28,2026-04-08,True,False,Tier 3,
OPP-00105,ACC-00199,Signal Systems - Enterprise rollout,24000,Negotiation,2026-08-03,2026-12-08,False,False,Tier 3,
OPP-00106,ACC-00159,Zenith Pay Group - API expansion,24000,Closed Won,2026-03-24,2026-06-07,True,True,Tier 3,
OPP-00107,ACC-00030,Vector Analytics - API expansion,24000,Closed Lost,2026-05-24,2026-06-20,True,False,Tier 3,
OPP-00108,ACC-00070,Zenith Health - New workload,12000,Closed Lost,2026-05-27,2026-07-05,True,False,Tier 3,
OPP-00109,ACC-00147,Ember Analytics Group - Platform renewal,48000,Closed Lost,2026-06-04,2026-08-04,True,False,Tier 3,
OPP-00110,ACC-00106,Summit Health - API expansion,24000,Closed Lost,2026-07-27,2026-09-11,True,False,Tier 3,
OPP-00111,ACC-00036,Signal Health - New workload,24000,Proposal,2026-07-23,2026-11-22,False,False,Tier 3,
OPP-00112,ACC-00190,Zenith Works - New workload,12000,Closed Lost,2026-06-22,2026-07-15,True,False,Tier 3,
OPP-00113,ACC-00198,Meridian Robotics Inc - Platform renewal,48000,Closed Lost,2026-06-25,2026-08-23,True,False,Tier 3,
OPP-00114,ACC-00195,Cinder Robotics Tech - New workload,36000,Closed Lost,2026-05-04,2026-05-28,True,False,Tier 3,
OPP-00115,ACC-00098,Pixel Analytics - Platform renewal,24000,Closed Lost,2026-05-28,2026-06-06,True,False,Tier 3,
OPP-00116,ACC-00193,Vector Networks - API expansion,48000,Closed Lost,2026-04-23,2026-05-07,True,False,Tier 3,
OPP-00117,ACC-00140,Nimbus Networks - Platform renewal,12000,Closed Lost,2026-04-30,2026-05-16,True,False,Tier 3,
OPP-00118,ACC-00196,Cinder Networks Tech - Enterprise rollout,36000,Closed Lost,2026-08-01,2026-09-13,True,False,Tier 3,
OPP-00119,ACC-00005,Nova Robotics - API expansion,12000,Proposal,2026-08-05,2026-12-14,False,False,Tier 3,
OPP-00120,ACC-00025,Vector Cloud Inc - Platform renewal,48000,Closed Lost,2026-07-31,2026-08-24,True,False,Tier 3,
OPP-00121,ACC-00125,Delta Logic - Enterprise rollout,24000,Closed Lost,2026-05-23,2026-05-30,True,False,Tier 3,
OPP-00122,ACC-00097,Kepler Data - Enterprise rollout,12000,Closed Lost,2026-06-14,2026-07-23,True,False,Tier 3,
OPP-00123,ACC-00066,Summit Logic - API expansion,24000,Closed Lost,2026-04-20,2026-06-12,True,False,Tier 3,
OPP-00124,ACC-00004,Cinder Labs - Enterprise rollout,12000,Proposal,2026-07-18,2026-11-08,False,False,Tier 3,
OPP-00125,ACC-00118,Ember Labs Group - Platform renewal,24000,Closed Lost,2026-08-22,2026-09-09,True,False,Tier 3,
OPP-00126,ACC-00108,Signal AI - Platform renewal,36000,Closed Lost,2026-04-20,2026-05-07,True,False,Tier 3,
OPP-00127,ACC-00144,Cobalt Systems Co - API expansion,36000,Closed Lost,2026-08-04,2026-08-20,True,False,Tier 3,
OPP-00128,ACC-00029,Meridian Cloud - API expansion,36000,Closed Lost,2026-07-22,2026-08-07,True,False,Tier 3,
OPP-00129,ACC-00138,Signal Labs - Enterprise rollout,12000,Closed Lost,2026-06-08,2026-06-23,True,False,Tier 3,
