usage_id,account_id,month,api_calls,active_users,mom_growth_pct
USG-000240,ACC-00040,2026-09-01,467306,85,42
USG-000241,ACC-00041,2026-04-01,4160000,41,4
USG-000242,ACC-00041,2026-05-01,4368000,41,5
USG-000243,ACC-00041,2026-06-01,4804800,43,10
USG-000244,ACC-00041,2026-07-01,5045040,40,5
USG-000245,ACC-00041,2026-08-01,5398192,41,7
USG-000246,ACC-00041,2026-09-01,5830047,42,8
USG-000247,ACC-00042,2026-04-01,1110000,39,11
USG-000248,ACC-00042,2026-05-01,1309800,40,18
USG-000249,ACC-00042,2026-06-01,1519368,43,16
USG-000250,ACC-00042,2026-07-01,1808047,46,19
USG-000251,ACC-00042,2026-08-01,2097334,45,16
USG-000252,ACC-00042,2026-09-01,2411934,42,15
USG-000253,ACC-00043,2026-04-01,5720000,37,43
USG-000254,ACC-00043,2026-05-01,8351200,39,46
USG-000255,ACC-00043,2026-06-01,12276264,43,47
USG-000256,ACC-00043,2026-07-01,17555057,45,43
USG-000257,ACC-00043,2026-08-01,25805933,44,47
USG-000258,ACC-00043,2026-09-01,36902484,43,43
USG-000259,ACC-00044,2026-04-01,51000,5,2
USG-000260,ACC-00044,2026-05-01,52530,9,3
USG-000261,ACC-00044,2026-06-01,52004,10,-1
USG-000262,ACC-00044,2026-07-01,55124,11,6
USG-000263,ACC-00044,2026-08-01,58431,14,6
USG-000264,ACC-00044,2026-09-01,60183,19,3
USG-000265,ACC-00045,2026-04-01,1020000,92,2
USG-000266,ACC-00045,2026-05-01,1071000,94,5
USG-000267,ACC-00045,2026-06-01,1081710,92,1
USG-000268,ACC-00045,2026-07-01,1103344,97,2
USG-000269,ACC-00045,2026-08-01,1125410,99,2
USG-000270,ACC-00045,2026-09-01,1114155,103,-1
USG-000271,ACC-00046,2026-04-01,52000,40,4
USG-000272,ACC-00046,2026-05-01,53040,38,2
USG-000273,ACC-00046,2026-06-01,53570,44,1
USG-000274,ACC-00046,2026-07-01,53034,41,-1
USG-000275,ACC-00046,2026-08-01,54094,44,2
USG-000276,ACC-00046,2026-09-01,54634,43,1
USG-000277,ACC-00047,2026-04-01,64000,20,28
USG-000278,ACC-00047,2026-05-01,78720,24,23
USG-000279,ACC-00047,2026-06-01,100761,23,28
USG-000280,ACC-00047,2026-07-01,127966,24,27
USG-000281,ACC-00047,2026-08-01,165076,29,29
USG-000282,ACC-00047,2026-09-01,204694,35,24
USG-000283,ACC-00048,2026-04-01,1260000,90,26
USG-000284,ACC-00048,2026-05-01,1587600,89,26
USG-000285,ACC-00048,2026-06-01,1952748,95,23
USG-000286,ACC-00048,2026-07-01,2440935,94,25
USG-000287,ACC-00048,2026-08-01,3075578,93,26
USG-000288,ACC-00048,2026-09-01,3875228,91,26
USG-000289,ACC-00049,2026-04-01,4640000,36,16
USG-000290,ACC-00049,2026-05-01,5382400,42,16
USG-000291,ACC-00049,2026-06-01,6028288,46,12
USG-000292,ACC-00049,2026-07-01,6751682,43,12
USG-000293,ACC-00049,2026-08-01,7831951,40,16
USG-000294,ACC-00049,2026-09-01,9320021,37,19
USG-000295,ACC-00050,2026-04-01,1120000,82,12
USG-000296,ACC-00050,2026-05-01,1321600,86,18
USG-000297,ACC-00050,2026-06-01,1519839,87,15
USG-000298,ACC-00050,2026-07-01,1793410,87,18
USG-000299,ACC-00050,2026-08-01,2080355,87,16
USG-000300,ACC-00050,2026-09-01,2413211,86,16
USG-000301,ACC-00051,2026-04-01,1490000,116,49
USG-000302,ACC-00051,2026-05-01,2115800,120,42
USG-000303,ACC-00051,2026-06-01,3004436,122,42
USG-000304,ACC-00051,2026-07-01,4356432,128,45
USG-000305,ACC-00051,2026-08-01,6447519,128,48
USG-000306,ACC-00051,2026-09-01,9348902,129,45
USG-000307,ACC-00052,2026-04-01,11520000,55,-4
USG-000308,ACC-00052,2026-05-01,11289600,60,-2
USG-000309,ACC-00052,2026-06-01,11176704,57,-1
USG-000310,ACC-00052,2026-07-01,10506101,57,-6
USG-000311,ACC-00052,2026-08-01,9665612,62,-8
USG-000312,ACC-00052,2026-09-01,9085675,65,-6
USG-000313,ACC-00053,2026-04-01,62000,20,24
USG-000314,ACC-00053,2026-05-01,79980,26,29
USG-000315,ACC-00053,2026-06-01,98375,29,23
USG-000316,ACC-00053,2026-07-01,119033,34,21
USG-000317,ACC-00053,2026-08-01,152362,39,28
USG-000318,ACC-00053,2026-09-01,196546,38,29
USG-000319,ACC-00054,2026-04-01,12120000,24,1
USG-000320,ACC-00054,2026-05-01,12968400,28,7
USG-000321,ACC-00054,2026-06-01,13227768,25,2
USG-000322,ACC-00054,2026-07-01,13624601,30,3
USG-000323,ACC-00054,2026-08-01,14305831,29,5
USG-000324,ACC-00054,2026-09-01,14878064,27,4
USG-000325,ACC-00055,2026-04-01,980000,50,-2
USG-000326,ACC-00055,2026-05-01,950600,52,-3
USG-000327,ACC-00055,2026-06-01,893564,54,-6
USG-000328,ACC-00055,2026-07-01,839950,58,-6
USG-000329,ACC-00055,2026-08-01,831550,55,-1
USG-000330,ACC-00055,2026-09-01,765026,60,-8
USG-000331,ACC-00056,2026-04-01,12600000,34,5
USG-000332,ACC-00056,2026-05-01,12852000,35,2
USG-000333,ACC-00056,2026-06-01,13237560,38,3
USG-000334,ACC-00056,2026-07-01,14031813,36,6
USG-000335,ACC-00056,2026-08-01,14873721,40,6
USG-000336,ACC-00056,2026-09-01,15617407,39,5
USG-000337,ACC-00057,2026-04-01,13440000,105,12
USG-000338,ACC-00057,2026-05-01,15321600,105,14
USG-000339,ACC-00057,2026-06-01,17926272,104,17
USG-000340,ACC-00057,2026-07-01,20615212,107,15
USG-000341,ACC-00057,2026-08-01,24119798,108,17
USG-000342,ACC-00057,2026-09-01,27978965,105,16
USG-000343,ACC-00058,2026-04-01,14520000,8,21
USG-000344,ACC-00058,2026-05-01,17569200,13,21
USG-000345,ACC-00058,2026-06-01,22664268,15,29
USG-000346,ACC-00058,2026-07-01,29010263,15,28
USG-000347,ACC-00058,2026-08-01,35102418,20,21
USG-000348,ACC-00058,2026-09-01,43526998,22,24
USG-000349,ACC-00059,2026-04-01,244000,32,22
USG-000350,ACC-00059,2026-05-01,309880,37,27
USG-000351,ACC-00059,2026-06-01,387350,38,25
USG-000352,ACC-00059,2026-07-01,476440,39,23
USG-000353,ACC-00059,2026-08-01,605078,40,27
USG-000354,ACC-00059,2026-09-01,780550,45,29
USG-000355,ACC-00060,2026-04-01,1160000,124,16
USG-000356,ACC-00060,2026-05-01,1310799,129,13
USG-000357,ACC-00060,2026-06-01,1520526,133,16
USG-000358,ACC-00060,2026-07-01,1763810,139,16
USG-000359,ACC-00060,2026-08-01,2046019,144,16
USG-000360,ACC-00060,2026-09-01,2312001,149,13
USG-000361,ACC-00061,2026-04-01,49000,14,-2
USG-000362,ACC-00061,2026-05-01,50470,20,3
USG-000363,ACC-00061,2026-06-01,51984,25,3
USG-000364,ACC-00061,2026-07-01,50424,24,-3
USG-000365,ACC-00061,2026-08-01,50424,29,0
USG-000366,ACC-00061,2026-09-01,52440,29,4
USG-000367,ACC-00062,2026-04-01,11760000,115,-2
USG-000368,ACC-00062,2026-05-01,11289600,121,-4
USG-000369,ACC-00062,2026-06-01,11176704,122,-1
USG-000370,ACC-00062,2026-07-01,10617868,124,-5
USG-000371,ACC-00062,2026-08-01,9768438,125,-8
USG-000372,ACC-00062,2026-09-01,9182331,128,-6
USG-000373,ACC-00063,2026-04-01,4680000,48,17
USG-000374,ACC-00063,2026-05-01,5241600,46,12
USG-000375,ACC-00063,2026-06-01,5923007,46,13
USG-000376,ACC-00063,2026-07-01,6574537,46,11
USG-000377,ACC-00063,2026-08-01,7823699,51,19
USG-000378,ACC-00063,2026-09-01,9075490,54,16
USG-000379,ACC-00064,2026-04-01,17040000,38,42
USG-000380,ACC-00064,2026-05-01,24537600,44,44
USG-000381,ACC-00064,2026-06-01,36315648,49,48
USG-000382,ACC-00064,2026-07-01,51568220,50,42
USG-000383,ACC-00064,2026-08-01,75289601,56,46
USG-000384,ACC-00064,2026-09-01,106158337,53,41
USG-000385,ACC-00065,2026-04-01,17040000,49,42
USG-000386,ACC-00065,2026-05-01,25219200,55,48
USG-000387,ACC-00065,2026-06-01,35559072,57,41
USG-000388,ACC-00065,2026-07-01,51916245,56,46
USG-000389,ACC-00065,2026-08-01,77355205,59,49
USG-000390,ACC-00065,2026-09-01,113712151,65,47
USG-000391,ACC-00066,2026-04-01,292000,57,46
USG-000392,ACC-00066,2026-05-01,426320,62,46
USG-000393,ACC-00066,2026-06-01,635216,59,49
USG-000394,ACC-00066,2026-07-01,940119,56,48
USG-000395,ACC-00066,2026-08-01,1372573,56,46
USG-000396,ACC-00066,2026-09-01,1962779,59,43
USG-000397,ACC-00067,2026-04-01,47000,40,-6
USG-000398,ACC-00067,2026-05-01,43240,37,-8
USG-000399,ACC-00067,2026-06-01,40645,42,-6
USG-000400,ACC-00067,2026-07-01,37799,48,-7
USG-000401,ACC-00067,2026-08-01,37043,49,-2
USG-000402,ACC-00067,2026-09-01,34449,51,-7
USG-000403,ACC-00068,2026-04-01,1020000,31,2
USG-000404,ACC-00068,2026-05-01,979200,36,-4
USG-000405,ACC-00068,2026-06-01,988992,41,1
USG-000406,ACC-00068,2026-07-01,959322,46,-3
USG-000407,ACC-00068,2026-08-01,930542,43,-3
USG-000408,ACC-00068,2026-09-01,930542,45,0
USG-000409,ACC-00069,2026-04-01,51000,41,2
USG-000410,ACC-00069,2026-05-01,52020,44,2
USG-000411,ACC-00069,2026-06-01,52020,46,0
USG-000412,ACC-00069,2026-07-01,55661,50,7
USG-000413,ACC-00069,2026-08-01,56774,53,2
USG-000414,ACC-00069,2026-09-01,59612,52,5
USG-000415,ACC-00070,2026-04-01,4040000,28,1
USG-000416,ACC-00070,2026-05-01,4120800,34,2
USG-000417,ACC-00070,2026-06-01,4079592,34,-1
USG-000418,ACC-00070,2026-07-01,4120387,34,1
USG-000419,ACC-00070,2026-08-01,3955571,31,-4
USG-000420,ACC-00070,2026-09-01,3995126,36,1
USG-000421,ACC-00071,2026-04-01,960000,114,-4
USG-000422,ACC-00071,2026-05-01,940800,114,-2
USG-000423,ACC-00071,2026-06-01,865536,116,-8
USG-000424,ACC-00071,2026-07-01,839569,119,-3
USG-000425,ACC-00071,2026-08-01,789194,125,-6
USG-000426,ACC-00071,2026-09-01,773410,131,-2
USG-000427,ACC-00072,2026-04-01,200000,92,0
USG-000428,ACC-00072,2026-05-01,210000,93,5
USG-000429,ACC-00072,2026-06-01,214200,96,2
USG-000430,ACC-00072,2026-07-01,212058,95,-1
USG-000431,ACC-00072,2026-08-01,226902,95,7
USG-000432,ACC-00072,2026-09-01,240516,99,6
USG-000433,ACC-00073,2026-04-01,186000,124,-7
USG-000434,ACC-00073,2026-05-01,180420,127,-3
USG-000435,ACC-00073,2026-06-01,175007,124,-3
USG-000436,ACC-00073,2026-07-01,168006,124,-4
USG-000437,ACC-00073,2026-08-01,159605,123,-5
USG-000438,ACC-00073,2026-09-01,158008,121,-1
USG-000439,ACC-00074,2026-04-01,4000000,71,0
USG-000440,ACC-00074,2026-05-01,4000000,68,0
USG-000441,ACC-00074,2026-06-01,4000000,74,0
USG-000442,ACC-00074,2026-07-01,4240000,76,6
USG-000443,ACC-00074,2026-08-01,4324800,78,2
USG-000444,ACC-00074,2026-09-01,4627536,79,7
USG-000445,ACC-00075,2026-04-01,3840000,68,-4
USG-000446,ACC-00075,2026-05-01,3494400,68,-9
USG-000447,ACC-00075,2026-06-01,3459456,73,-1
USG-000448,ACC-00075,2026-07-01,3148104,72,-9
USG-000449,ACC-00075,2026-08-01,3085141,72,-2
USG-000450,ACC-00075,2026-09-01,2807478,73,-9
USG-000451,ACC-00076,2026-04-01,214000,130,7
USG-000452,ACC-00076,2026-05-01,226840,135,6
USG-000453,ACC-00076,2026-06-01,238182,136,5
USG-000454,ACC-00076,2026-07-01,257236,137,8
USG-000455,ACC-00076,2026-08-01,285531,135,11
USG-000456,ACC-00076,2026-09-01,319794,141,12
USG-000457,ACC-00077,2026-04-01,288000,81,44
USG-000458,ACC-00077,2026-05-01,423360,87,47
USG-000459,ACC-00077,2026-06-01,596937,90,41
USG-000460,ACC-00077,2026-07-01,883466,93,48
USG-000461,ACC-00077,2026-08-01,1281025,99,45
USG-000462,ACC-00077,2026-09-01,1806245,105,41
USG-000463,ACC-00078,2026-04-01,238000,48,19
USG-000464,ACC-00078,2026-05-01,283220,52,19
USG-000465,ACC-00078,2026-06-01,325703,54,15
USG-000466,ACC-00078,2026-07-01,377815,52,16
USG-000467,ACC-00078,2026-08-01,430709,54,14
USG-000468,ACC-00078,2026-09-01,512543,58,19
USG-000469,ACC-00079,2026-04-01,196000,129,-2
USG-000470,ACC-00079,2026-05-01,184240,126,-6
USG-000471,ACC-00079,2026-06-01,178712,131,-3
USG-000472,ACC-00079,2026-07-01,176924,129,-1
USG-000473,ACC-00079,2026-08-01,162770,132,-8
USG-000474,ACC-00079,2026-09-01,154631,129,-5
USG-000475,ACC-00080,2026-04-01,208000,86,4
USG-000476,ACC-00080,2026-05-01,201760,91,-3
USG-000477,ACC-00080,2026-06-01,207812,91,3
USG-000478,ACC-00080,2026-07-01,216124,95,4
USG-000479,ACC-00080,2026-08-01,222607,97,3
USG-000480,ACC-00080,2026-09-01,231511,97,4
USG-000481,ACC-00081,2026-04-01,216000,61,8
USG-000482,ACC-00081,2026-05-01,239760,58,11
USG-000483,ACC-00081,2026-06-01,258940,56,8
USG-000484,ACC-00081,2026-07-01,277065,53,7
USG-000485,ACC-00081,2026-08-01,288147,59,4
USG-000486,ACC-00081,2026-09-01,302554,61,5
USG-000487,ACC-00082,2026-04-01,294000,131,47
USG-000488,ACC-00082,2026-05-01,420420,136,43
USG-000489,ACC-00082,2026-06-01,601200,139,43
USG-000490,ACC-00082,2026-07-01,859716,141,43
USG-000491,ACC-00082,2026-08-01,1246588,140,45
USG-000492,ACC-00082,2026-09-01,1757689,141,41
USG-000493,ACC-00083,2026-04-01,72000,44,44
USG-000494,ACC-00083,2026-05-01,101520,46,41
USG-000495,ACC-00083,2026-06-01,150249,50,48
USG-000496,ACC-00083,2026-07-01,214856,47,43
USG-000497,ACC-00083,2026-08-01,311541,48,45
USG-000498,ACC-00083,2026-09-01,442388,45,42
USG-000499,ACC-00084,2026-04-01,62500,127,25
USG-000500,ACC-00084,2026-05-01,77500,126,24
USG-000501,ACC-00084,2026-06-01,96875,128,25
USG-000502,ACC-00084,2026-07-01,120125,133,24
