history_id,opportunity_id,from_stage,to_stage,changed_at,days_in_from_stage
OSH-000028,OPP-00008,Discovery,Closed Lost,2026-09-03 23:00:00,8
OSH-000029,OPP-00009,Prospecting,Discovery,2026-04-19 23:00:00,4
OSH-000030,OPP-00009,Discovery,Proposal,2026-04-30 23:00:00,11
OSH-000031,OPP-00009,Proposal,Negotiation,2026-05-18 23:00:00,18
OSH-000032,OPP-00009,Negotiation,Closed Won,2026-05-25 23:00:00,7
OSH-000033,OPP-00010,Prospecting,Discovery,2026-09-07 23:00:00,8
OSH-000034,OPP-00010,Discovery,Proposal,2026-09-13 23:00:00,6
OSH-000035,OPP-00011,Prospecting,Discovery,2026-05-14 23:00:00,7
OSH-000036,OPP-00011,Discovery,Proposal,2026-05-28 23:00:00,14
OSH-000037,OPP-00011,Proposal,Negotiation,2026-06-18 23:00:00,21
OSH-000038,OPP-00011,Negotiation,Closed Lost,2026-06-26 23:00:00,8
OSH-000039,OPP-00012,Prospecting,Discovery,2026-04-30 23:00:00,3
OSH-000040,OPP-00012,Discovery,Proposal,2026-05-05 23:00:00,5
OSH-000041,OPP-00012,Proposal,Negotiation,2026-06-09 23:00:00,35
OSH-000042,OPP-00012,Negotiation,Closed Won,2026-06-23 23:00:00,14
OSH-000043,OPP-00013,Prospecting,Closed Lost,2026-08-03 23:00:00,3
OSH-000044,OPP-00014,Prospecting,Discovery,2026-04-18 23:00:00,5
OSH-000045,OPP-00014,Discovery,Proposal,2026-05-01 23:00:00,13
OSH-000046,OPP-00014,Proposal,Negotiation,2026-05-17 23:00:00,16
OSH-000047,OPP-00014,Negotiation,Closed Won,2026-06-03 23:00:00,17
OSH-000048,OPP-00015,Prospecting,Discovery,2026-07-11 23:00:00,11
OSH-000049,OPP-00015,Discovery,Closed Lost,2026-07-26 23:00:00,15
OSH-000050,OPP-00016,Prospecting,Discovery,2026-05-14 23:00:00,5
OSH-000051,OPP-00016,Discovery,Proposal,2026-05-21 23:00:00,7
OSH-000052,OPP-00016,Proposal,Negotiation,2026-06-10 23:00:00,20
OSH-000053,OPP-00016,Negotiation,Closed Won,2026-06-27 23:00:00,17
OSH-000054,OPP-00017,Prospecting,Discovery,2026-04-05 23:00:00,6
OSH-000055,OPP-00017,Discovery,Proposal,2026-04-15 23:00:00,10
OSH-000056,OPP-00017,Proposal,Negotiation,2026-04-29 23:00:00,14
OSH-000057,OPP-00017,Negotiation,Closed Won,2026-05-10 23:00:00,11
OSH-000058,OPP-00018,Prospecting,Discovery,2026-07-05 23:00:00,11
OSH-000059,OPP-00018,Discovery,Proposal,2026-07-10 23:00:00,5
OSH-000060,OPP-00018,Proposal,Negotiation,2026-08-02 23:00:00,23
OSH-000061,OPP-00018,Negotiation,Closed Lost,2026-08-22 23:00:00,20
OSH-000062,OPP-00019,Prospecting,Closed Lost,2026-04-03 23:00:00,3
OSH-000063,OPP-00020,Prospecting,Discovery,2026-04-06 23:00:00,11
OSH-000064,OPP-00020,Discovery,Proposal,2026-04-24 23:00:00,18
OSH-000065,OPP-00020,Proposal,Closed Lost,2026-05-13 23:00:00,19
OSH-000066,OPP-00021,Prospecting,Discovery,2026-08-12 23:00:00,5
OSH-000067,OPP-00021,Discovery,Proposal,2026-08-23 23:00:00,11
OSH-000068,OPP-00021,Proposal,Negotiation,2026-09-12 23:00:00,20
OSH-000069,OPP-00022,Prospecting,Discovery,2026-07-26 23:00:00,6
OSH-000070,OPP-00022,Discovery,Proposal,2026-08-01 23:00:00,6
OSH-000071,OPP-00022,Proposal,Negotiation,2026-08-31 23:00:00,30
OSH-000072,OPP-00022,Negotiation,Closed Lost,2026-09-14 23:00:00,14
OSH-000073,OPP-00023,Prospecting,Discovery,2026-08-01 23:00:00,8
OSH-000074,OPP-00023,Discovery,Proposal,2026-08-13 23:00:00,12
OSH-000075,OPP-00023,Proposal,Negotiation,2026-09-07 23:00:00,25
OSH-000076,OPP-00024,Prospecting,Discovery,2026-05-11 23:00:00,11
OSH-000077,OPP-00024,Discovery,Proposal,2026-05-26 23:00:00,15
OSH-000078,OPP-00024,Proposal,Closed Lost,2026-06-25 23:00:00,30
OSH-000079,OPP-00025,Prospecting,Discovery,2026-05-16 23:00:00,7
OSH-000080,OPP-00025,Discovery,Proposal,2026-05-22 23:00:00,6
OSH-000081,OPP-00025,Proposal,Negotiation,2026-06-19 23:00:00,28
OSH-000082,OPP-00025,Negotiation,Closed Won,2026-07-01 23:00:00,12
OSH-000083,OPP-00026,Prospecting,Discovery,2026-05-28 23:00:00,5
OSH-000084,OPP-00026,Discovery,Proposal,2026-06-04 23:00:00,7
OSH-000085,OPP-00026,Proposal,Closed Lost,2026-07-06 23:00:00,32
OSH-000086,OPP-00027,Prospecting,Closed Lost,2026-09-05 23:00:00,6
OSH-000087,OPP-00028,Prospecting,Discovery,2026-06-04 23:00:00,11
OSH-000088,OPP-00028,Discovery,Proposal,2026-06-11 23:00:00,7
OSH-000089,OPP-00028,Proposal,Closed Lost,2026-07-08 23:00:00,27
OSH-000090,OPP-00029,Prospecting,Discovery,2026-07-17 23:00:00,11
OSH-000091,OPP-00029,Discovery,Closed Lost,2026-07-27 23:00:00,10
OSH-000092,OPP-00030,Prospecting,Discovery,2026-07-10 23:00:00,9
OSH-000093,OPP-00030,Discovery,Closed Lost,2026-07-21 23:00:00,11
OSH-000094,OPP-00031,Prospecting,Discovery,2026-08-06 23:00:00,9
OSH-000095,OPP-00031,Discovery,Proposal,2026-08-11 23:00:00,5
OSH-000096,OPP-00031,Proposal,Negotiation,2026-09-08 23:00:00,28
OSH-000097,OPP-00031,Negotiation,Closed Won,2026-09-19 23:00:00,11
OSH-000098,OPP-00032,Prospecting,Discovery,2026-08-18 23:00:00,3
OSH-000099,OPP-00032,Discovery,Proposal,2026-08-25 23:00:00,7
OSH-000100,OPP-00032,Proposal,Negotiation,2026-09-12 23:00:00,18
OSH-000101,OPP-00033,Prospecting,Discovery,2026-05-09 23:00:00,6
OSH-000102,OPP-00033,Discovery,Proposal,2026-05-23 23:00:00,14
OSH-000103,OPP-00033,Proposal,Closed Lost,2026-06-07 23:00:00,15
OSH-000104,OPP-00034,Prospecting,Discovery,2026-08-21 23:00:00,3
OSH-000105,OPP-00034,Discovery,Proposal,2026-09-02 23:00:00,12
OSH-000106,OPP-00035,Prospecting,Discovery,2026-06-25 23:00:00,3
OSH-000107,OPP-00035,Discovery,Proposal,2026-07-11 23:00:00,16
OSH-000108,OPP-00035,Proposal,Negotiation,2026-08-09 23:00:00,29
OSH-000109,OPP-00035,Negotiation,Closed Lost,2026-08-23 23:00:00,14
OSH-000110,OPP-00036,Prospecting,Discovery,2026-08-18 23:00:00,11
OSH-000111,OPP-00036,Discovery,Proposal,2026-08-31 23:00:00,13
OSH-000112,OPP-00037,Prospecting,Discovery,2026-06-13 23:00:00,11
OSH-000113,OPP-00037,Discovery,Closed Lost,2026-07-01 23:00:00,18
OSH-000114,OPP-00038,Prospecting,Discovery,2026-05-24 23:00:00,5
OSH-000115,OPP-00038,Discovery,Proposal,2026-06-08 23:00:00,15
OSH-000116,OPP-00038,Proposal,Negotiation,2026-06-21 23:00:00,13
OSH-000117,OPP-00038,Negotiation,Closed Won,2026-07-11 23:00:00,20
OSH-000118,OPP-00039,Prospecting,Discovery,2026-09-05 23:00:00,9
OSH-000119,OPP-00039,Discovery,Closed Lost,2026-09-16 23:00:00,11
OSH-000120,OPP-00040,Prospecting,Discovery,2026-05-24 23:00:00,10
OSH-000121,OPP-00040,Discovery,Closed Lost,2026-06-05 23:00:00,12
OSH-000122,OPP-00041,Prospecting,Discovery,2026-05-18 23:00:00,3
OSH-000123,OPP-00041,Discovery,Closed Lost,2026-05-28 23:00:00,10
OSH-000124,OPP-00042,Prospecting,Discovery,2026-04-26 23:00:00,3
OSH-000125,OPP-00042,Discovery,Proposal,2026-05-04 23:00:00,8
OSH-000126,OPP-00042,Proposal,Negotiation,2026-05-16 23:00:00,12
OSH-000127,OPP-00042,Negotiation,Closed Won,2026-05-23 23:00:00,7
OSH-000128,OPP-00043,Prospecting,Discovery,2026-05-22 23:00:00,8
OSH-000129,OPP-00043,Discovery,Proposal,2026-06-05 23:00:00,14
OSH-000130,OPP-00043,Proposal,Negotiation,2026-06-19 23:00:00,14
OSH-000131,OPP-00043,Negotiation,Closed Won,2026-07-03 23:00:00,14
OSH-000132,OPP-00044,Prospecting,Discovery,2026-06-18 23:00:00,10
OSH-000133,OPP-00044,Discovery,Proposal,2026-06-23 23:00:00,5
OSH-000134,OPP-00044,Proposal,Closed Lost,2026-07-11 23:00:00,18
OSH-000135,OPP-00045,Prospecting,Discovery,2026-07-15 23:00:00,8
OSH-000136,OPP-00045,Discovery,Proposal,2026-07-27 23:00:00,12
OSH-000137,OPP-00045,Proposal,Closed Lost,2026-08-16 23:00:00,20
OSH-000138,OPP-00046,Prospecting,Closed Lost,2026-08-19 23:00:00,9
OSH-000139,OPP-00047,Prospecting,Discovery,2026-05-28 23:00:00,9
OSH-000140,OPP-00047,Discovery,Proposal,2026-06-03 23:00:00,6
OSH-000141,OPP-00047,Proposal,Closed Lost,2026-06-19 23:00:00,16
OSH-000142,OPP-00048,Prospecting,Discovery,2026-04-01 23:00:00,9
OSH-000143,OPP-00048,Discovery,Proposal,2026-04-06 23:00:00,5
OSH-000144,OPP-00048,Proposal,Negotiation,2026-04-30 23:00:00,24
OSH-000145,OPP-00048,Negotiation,Closed Lost,2026-05-10 23:00:00,10
OSH-000146,OPP-00049,Prospecting,Discovery,2026-08-14 23:00:00,6
OSH-000147,OPP-00049,Discovery,Proposal,2026-08-31 23:00:00,17
OSH-000148,OPP-00050,Prospecting,Discovery,2026-04-07 23:00:00,9
OSH-000149,OPP-00050,Discovery,Proposal,2026-04-15 23:00:00,8
OSH-000150,OPP-00050,Proposal,Closed Lost,2026-04-29 23:00:00,14
OSH-000151,OPP-00051,Prospecting,Closed Lost,2026-08-08 23:00:00,12
OSH-000152,OPP-00052,Prospecting,Discovery,2026-06-30 23:00:00,5
OSH-000153,OPP-00052,Discovery,Proposal,2026-07-07 23:00:00,7
OSH-000154,OPP-00052,Proposal,Negotiation,2026-08-10 23:00:00,34
OSH-000155,OPP-00052,Negotiation,Closed Lost,2026-08-27 23:00:00,17
OSH-000156,OPP-00053,Prospecting,Discovery,2026-04-01 23:00:00,7
OSH-000157,OPP-00053,Discovery,Closed Lost,2026-04-13 23:00:00,12
OSH-000158,OPP-00054,Prospecting,Discovery,2026-04-21 23:00:00,5
OSH-000159,OPP-00054,Discovery,Proposal,2026-04-29 23:00:00,8
OSH-000160,OPP-00054,Proposal,Closed Lost,2026-05-09 23:00:00,10
OSH-000161,OPP-00055,Prospecting,Discovery,2026-09-08 23:00:00,9
OSH-000162,OPP-00055,Discovery,Proposal,2026-09-16 23:00:00,8
OSH-000163,OPP-00056,Prospecting,Closed Lost,2026-06-22 23:00:00,6
OSH-000164,OPP-00057,Prospecting,Discovery,2026-08-24 23:00:00,12
OSH-000165,OPP-00057,Discovery,Proposal,2026-09-08 23:00:00,15
OSH-000166,OPP-00058,Prospecting,Closed Lost,2026-06-28 23:00:00,5
OSH-000167,OPP-00059,Prospecting,Discovery,2026-06-21 23:00:00,12
OSH-000168,OPP-00059,Discovery,Proposal,2026-07-05 23:00:00,14
OSH-000169,OPP-00059,Proposal,Closed Lost,2026-08-01 23:00:00,27
OSH-000170,OPP-00060,Prospecting,Closed Lost,2026-09-06 23:00:00,7
OSH-000171,OPP-00061,Prospecting,Closed Lost,2026-07-31 23:00:00,9
OSH-000172,OPP-00062,Prospecting,Discovery,2026-08-08 23:00:00,10
OSH-000173,OPP-00062,Discovery,Proposal,2026-08-16 23:00:00,8
OSH-000174,OPP-00062,Proposal,Negotiation,2026-08-28 23:00:00,12
OSH-000175,OPP-00062,Negotiation,Closed Lost,2026-09-03 23:00:00,6
OSH-000176,OPP-00063,Prospecting,Discovery,2026-05-10 23:00:00,10
OSH-000177,OPP-00063,Discovery,Proposal,2026-05-23 23:00:00,13
OSH-000178,OPP-00063,Proposal,Negotiation,2026-06-09 23:00:00,17
OSH-000179,OPP-00063,Negotiation,Closed Won,2026-06-15 23:00:00,6
OSH-000180,OPP-00064,Prospecting,Discovery,2026-03-29 23:00:00,5
OSH-000181,OPP-00064,Discovery,Proposal,2026-04-04 23:00:00,6
OSH-000182,OPP-00064,Proposal,Closed Lost,2026-04-15 23:00:00,11
OSH-000183,OPP-00065,Prospecting,Discovery,2026-08-27 23:00:00,10
OSH-000184,OPP-00065,Discovery,Proposal,2026-09-11 23:00:00,15
OSH-000185,OPP-00066,Prospecting,Discovery,2026-05-02 23:00:00,9
OSH-000186,OPP-00066,Discovery,Proposal,2026-05-09 23:00:00,7
OSH-000187,OPP-00066,Proposal,Closed Lost,2026-05-19 23:00:00,10
OSH-000188,OPP-00067,Prospecting,Discovery,2026-09-02 23:00:00,6
OSH-000189,OPP-00067,Discovery,Closed Lost,2026-09-10 23:00:00,8
OSH-000190,OPP-00068,Prospecting,Discovery,2026-05-28 23:00:00,9
OSH-000191,OPP-00068,Discovery,Proposal,2026-06-06 23:00:00,9
OSH-000192,OPP-00068,Proposal,Negotiation,2026-06-24 23:00:00,18
OSH-000193,OPP-00068,Negotiation,Closed Won,2026-07-14 23:00:00,20
OSH-000194,OPP-00069,Prospecting,Discovery,2026-08-16 23:00:00,12
OSH-000195,OPP-00069,Discovery,Proposal,2026-08-30 23:00:00,14
OSH-000196,OPP-00070,Prospecting,Closed Lost,2026-04-11 23:00:00,12
OSH-000197,OPP-00071,Prospecting,Closed Lost,2026-08-25 23:00:00,3
OSH-000198,OPP-00072,Prospecting,Discovery,2026-08-01 23:00:00,7
OSH-000199,OPP-00072,Discovery,Closed Lost,2026-08-08 23:00:00,7
OSH-000200,OPP-00073,Prospecting,Discovery,2026-05-29 23:00:00,4
OSH-000201,OPP-00073,Discovery,Proposal,2026-06-11 23:00:00,13
OSH-000202,OPP-00073,Proposal,Closed Lost,2026-07-16 23:00:00,35
OSH-000203,OPP-00074,Prospecting,Closed Lost,2026-08-15 23:00:00,11
OSH-000204,OPP-00075,Prospecting,Discovery,2026-07-01 23:00:00,4
OSH-000205,OPP-00075,Discovery,Proposal,2026-07-13 23:00:00,12
OSH-000206,OPP-00075,Proposal,Closed Lost,2026-08-22 23:00:00,40
OSH-000207,OPP-00076,Prospecting,Discovery,2026-08-05 23:00:00,10
OSH-000208,OPP-00076,Discovery,Closed Lost,2026-08-23 23:00:00,18
OSH-000209,OPP-00077,Prospecting,Discovery,2026-06-15 23:00:00,11
OSH-000210,OPP-00077,Discovery,Closed Lost,2026-06-21 23:00:00,6
OSH-000211,OPP-00078,Prospecting,Discovery,2026-08-09 23:00:00,11
OSH-000212,OPP-00078,Discovery,Proposal,2026-08-24 23:00:00,15
OSH-000213,OPP-00079,Prospecting,Discovery,2026-08-22 23:00:00,9
OSH-000214,OPP-00079,Discovery,Proposal,2026-09-07 23:00:00,16
OSH-000215,OPP-00080,Prospecting,Discovery,2026-06-01 23:00:00,12
OSH-000216,OPP-00080,Discovery,Closed Lost,2026-06-19 23:00:00,18
OSH-000217,OPP-00081,Prospecting,Discovery,2026-09-03 23:00:00,10
OSH-000218,OPP-00081,Discovery,Closed Lost,2026-09-17 23:00:00,14
OSH-000219,OPP-00082,Prospecting,Closed Lost,2026-07-24 23:00:00,12
OSH-000220,OPP-00083,Prospecting,Discovery,2026-07-26 23:00:00,4
OSH-000221,OPP-00083,Discovery,Proposal,2026-08-08 23:00:00,13
OSH-000222,OPP-00083,Proposal,Closed Lost,2026-08-30 23:00:00,22
OSH-000223,OPP-00084,Prospecting,Discovery,2026-05-24 23:00:00,4
OSH-000224,OPP-00084,Discovery,Closed Lost,2026-06-03 23:00:00,10
OSH-000225,OPP-00085,Prospecting,Discovery,2026-05-01 23:00:00,8
OSH-000226,OPP-00085,Discovery,Closed Lost,2026-05-14 23:00:00,13
OSH-000227,OPP-00086,Prospecting,Discovery,2026-06-16 23:00:00,8
OSH-000228,OPP-00086,Discovery,Proposal,2026-06-23 23:00:00,7
OSH-000229,OPP-00086,Proposal,Negotiation,2026-07-24 23:00:00,31
OSH-000230,OPP-00086,Negotiation,Closed Won,2026-07-29 23:00:00,5
OSH-000231,OPP-00087,Prospecting,Discovery,2026-06-12 23:00:00,7
OSH-000232,OPP-00087,Discovery,Proposal,2026-06-22 23:00:00,10
OSH-000233,OPP-00087,Proposal,Closed Lost,2026-07-22 23:00:00,30
OSH-000234,OPP-00088,Prospecting,Closed Lost,2026-08-10 23:00:00,7
OSH-000235,OPP-00089,Prospecting,Discovery,2026-08-16 23:00:00,3
OSH-000236,OPP-00089,Discovery,Closed Lost,2026-09-03 23:00:00,18
OSH-000237,OPP-00090,Prospecting,Discovery,2026-04-20 23:00:00,3
OSH-000238,OPP-00090,Discovery,Closed Lost,2026-04-28 23:00:00,8
OSH-000239,OPP-00091,Prospecting,Closed Lost,2026-08-23 23:00:00,3
OSH-000240,OPP-00092,Prospecting,Discovery,2026-07-19 23:00:00,7
OSH-000241,OPP-00092,Discovery,Proposal,2026-07-27 23:00:00,8
OSH-000242,OPP-00092,Proposal,Negotiation,2026-08-27 23:00:00,31
OSH-000243,OPP-00092,Negotiation,Closed Lost,2026-09-02 23:00:00,6
OSH-000244,OPP-00093,Prospecting,Closed Lost,2026-08-30 23:00:00,12
OSH-000245,OPP-00094,Prospecting,Discovery,2026-08-25 23:00:00,12
OSH-000246,OPP-00094,Discovery,Proposal,2026-09-11 23:00:00,17
OSH-000247,OPP-00095,Prospecting,Closed Lost,2026-04-05 23:00:00,5
OSH-000248,OPP-00096,Prospecting,Discovery,2026-07-28 23:00:00,6
OSH-000249,OPP-00096,Discovery,Proposal,2026-08-11 23:00:00,14
OSH-000250,OPP-00096,Proposal,Negotiation,2026-08-29 23:00:00,18
OSH-000251,OPP-00096,Negotiation,Closed Won,2026-09-04 23:00:00,6
OSH-000252,OPP-00097,Prospecting,Closed Lost,2026-06-06 23:00:00,11
OSH-000253,OPP-00098,Prospecting,Discovery,2026-04-12 23:00:00,6
OSH-000254,OPP-00098,Discovery,Proposal,2026-04-27 23:00:00,15
OSH-000255,OPP-00098,Proposal,Closed Lost,2026-05-25 23:00:00,28
OSH-000256,OPP-00099,Prospecting,Discovery,2026-07-31 23:00:00,5
OSH-000257,OPP-00099,Discovery,Proposal,2026-08-09 23:00:00,9
OSH-000258,OPP-00099,Proposal,Closed Lost,2026-09-16 23:00:00,38
OSH-000259,OPP-00100,Prospecting,Discovery,2026-07-13 23:00:00,11
OSH-000260,OPP-00100,Discovery,Proposal,2026-07-30 23:00:00,17
OSH-000261,OPP-00100,Proposal,Negotiation,2026-09-02 23:00:00,34
OSH-000262,OPP-00100,Negotiation,Closed Won,2026-09-07 23:00:00,5
OSH-000263,OPP-00101,Prospecting,Discovery,2026-07-26 23:00:00,4
OSH-000264,OPP-00101,Discovery,Closed Lost,2026-08-07 23:00:00,12
OSH-000265,OPP-00102,Prospecting,Discovery,2026-06-26 23:00:00,8
OSH-000266,OPP-00102,Discovery,Closed Lost,2026-07-02 23:00:00,6
OSH-000267,OPP-00103,Prospecting,Discovery,2026-05-02 23:00:00,11
OSH-000268,OPP-00103,Discovery,Proposal,2026-05-10 23:00:00,8
OSH-000269,OPP-00103,Proposal,Closed Lost,2026-06-13 23:00:00,34
OSH-000270,OPP-00104,Prospecting,Closed Lost,2026-04-08 23:00:00,11
OSH-000271,OPP-00105,Prospecting,Discovery,2026-08-09 23:00:00,6
OSH-000272,OPP-00105,Discovery,Proposal,2026-08-17 23:00:00,8
OSH-000273,OPP-00105,Proposal,Negotiation,2026-09-17 23:00:00,31
OSH-000274,OPP-00106,Prospecting,Discovery,2026-04-03 23:00:00,10
OSH-000275,OPP-00106,Discovery,Proposal,2026-04-15 23:00:00,12
OSH-000276,OPP-00106,Proposal,Negotiation,2026-05-19 23:00:00,34
OSH-000277,OPP-00106,Negotiation,Closed Won,2026-06-07 23:00:00,19
OSH-000278,OPP-00107,Prospecting,Discovery,2026-06-05 23:00:00,12
OSH-000279,OPP-00107,Discovery,Closed Lost,2026-06-20 23:00:00,15
OSH-000280,OPP-00108,Prospecting,Discovery,2026-06-06 23:00:00,10
OSH-000281,OPP-00108,Discovery,Proposal,2026-06-13 23:00:00,7
OSH-000282,OPP-00108,Proposal,Closed Lost,2026-07-05 23:00:00,22
OSH-000283,OPP-00109,Prospecting,Discovery,2026-06-16 23:00:00,12
OSH-000284,OPP-00109,Discovery,Proposal,2026-07-04 23:00:00,18
OSH-000285,OPP-00109,Proposal,Closed Lost,2026-08-04 23:00:00,31
OSH-000286,OPP-00110,Prospecting,Discovery,2026-08-02 23:00:00,6
OSH-000287,OPP-00110,Discovery,Proposal,2026-08-08 23:00:00,6
OSH-000288,OPP-00110,Proposal,Closed Lost,2026-09-11 23:00:00,34
OSH-000289,OPP-00111,Prospecting,Discovery,2026-08-02 23:00:00,10
OSH-000290,OPP-00111,Discovery,Proposal,2026-08-16 23:00:00,14
OSH-000291,OPP-00112,Prospecting,Discovery,2026-07-03 23:00:00,11
OSH-000292,OPP-00112,Discovery,Closed Lost,2026-07-15 23:00:00,12
OSH-000293,OPP-00113,Prospecting,Discovery,2026-07-04 23:00:00,9
OSH-000294,OPP-00113,Discovery,Proposal,2026-07-14 23:00:00,10
OSH-000295,OPP-00113,Proposal,Negotiation,2026-08-17 23:00:00,34
OSH-000296,OPP-00113,Negotiation,Closed Lost,2026-08-23 23:00:00,6
OSH-000297,OPP-00114,Prospecting,Discovery,2026-05-16 23:00:00,12
OSH-000298,OPP-00114,Discovery,Closed Lost,2026-05-28 23:00:00,12
OSH-000299,OPP-00115,Prospecting,Closed Lost,2026-06-06 23:00:00,9
OSH-000300,OPP-00116,Prospecting,Discovery,2026-05-02 23:00:00,9
OSH-000301,OPP-00116,Discovery,Closed Lost,2026-05-07 23:00:00,5
OSH-000302,OPP-00117,Prospecting,Discovery,2026-05-05 23:00:00,5
OSH-000303,OPP-00117,Discovery,Closed Lost,2026-05-16 23:00:00,11
OSH-000304,OPP-00118,Prospecting,Discovery,2026-08-05 23:00:00,4
OSH-000305,OPP-00118,Discovery,Proposal,2026-08-22 23:00:00,17
OSH-000306,OPP-00118,Proposal,Closed Lost,2026-09-13 23:00:00,22
OSH-000307,OPP-00119,Prospecting,Discovery,2026-08-15 23:00:00,10
OSH-000308,OPP-00119,Discovery,Proposal,2026-08-26 23:00:00,11
OSH-000309,OPP-00120,Prospecting,Discovery,2026-08-12 23:00:00,12
OSH-000310,OPP-00120,Discovery,Closed Lost,2026-08-24 23:00:00,12
OSH-000311,OPP-00121,Prospecting,Closed Lost,2026-05-30 23:00:00,7
OSH-000312,OPP-00122,Prospecting,Discovery,2026-06-20 23:00:00,6
OSH-000313,OPP-00122,Discovery,Proposal,2026-06-25 23:00:00,5
OSH-000314,OPP-00122,Proposal,Closed Lost,2026-07-23 23:00:00,28
OSH-000315,OPP-00123,Prospecting,Discovery,2026-04-28 23:00:00,8
OSH-000316,OPP-00123,Discovery,Proposal,2026-05-10 23:00:00,12
OSH-000317,OPP-00123,Proposal,Closed Lost,2026-06-12 23:00:00,33
OSH-000318,OPP-00124,Prospecting,Discovery,2026-07-26 23:00:00,8
OSH-000319,OPP-00124,Discovery,Proposal,2026-08-10 23:00:00,15
OSH-000320,OPP-00125,Prospecting,Discovery,2026-08-26 23:00:00,4
OSH-000321,OPP-00125,Discovery,Closed Lost,2026-09-09 23:00:00,14
OSH-000322,OPP-00126,Prospecting,Discovery,2026-04-27 23:00:00,7
OSH-000323,OPP-00126,Discovery,Closed Lost,2026-05-07 23:00:00,10
OSH-000324,OPP-00127,Prospecting,Discovery,2026-08-08 23:00:00,4
OSH-000325,OPP-00127,Discovery,Closed Lost,2026-08-20 23:00:00,12
OSH-000326,OPP-00128,Prospecting,Discovery,2026-07-25 23:00:00,3
OSH-000327,OPP-00128,Discovery,Closed Lost,2026-08-07 23:00:00,13
